"x"	"y"	"bio.1"	"bio.2"	"bio.4"	"bio.12"	"bio.15"
-89.25	14.25	22.85709702	6.903103342	176.4331556	916.8939724	78.61804699
-88.75	14.25	22.48557453	7.453442162	180.2879781	842.944038	75.15379804
-88.25	14.25	22.2542236	7.351157891	170.2995873	826.1779618	69.97683582
-87.75	14.25	21.78268328	7.215022335	161.8015699	803.7780004	66.82114997
-87.25	14.25	21.67472894	7.076590438	152.7306491	810.9389031	64.07930588
-86.75	14.25	21.86119197	6.905938246	143.3975919	847.8852829	61.98338956
-86.25	14.25	21.97859027	6.770102144	136.1863579	891.5616525	61.40390759
-85.75	14.25	22.66839806	6.400391321	124.8812591	946.9671771	61.6550598
-85.25	14.25	23.28951937	5.941013494	116.3607374	1004.383178	62.61181052
-84.75	14.25	24.05898362	5.098369093	108.0894922	1028.772912	64.11986279
-84.25	14.25	24.96517393	4.054050052	101.1829599	998.6378858	66.2301227
-83.75	14.25	25.54616947	3.025222968	96.72623074	940.6893008	68.75807265
-83.25	14.25	25.8067446	2.008416007	93.1114643	845.2455277	71.88468702
-82.75	14.25	NA	NA	NA	NA	NA
-82.25	14.25	NA	NA	NA	NA	NA
-81.75	14.25	NA	NA	NA	NA	NA
-81.25	14.25	NA	NA	NA	NA	NA
-80.75	14.25	NA	NA	NA	NA	NA
-80.25	14.25	NA	NA	NA	NA	NA
-79.75	14.25	NA	NA	NA	NA	NA
-79.25	14.25	NA	NA	NA	NA	NA
-78.75	14.25	NA	NA	NA	NA	NA
-78.25	14.25	NA	NA	NA	NA	NA
-77.75	14.25	NA	NA	NA	NA	NA
-77.25	14.25	NA	NA	NA	NA	NA
-76.75	14.25	NA	NA	NA	NA	NA
-76.25	14.25	NA	NA	NA	NA	NA
-75.75	14.25	NA	NA	NA	NA	NA
-75.25	14.25	NA	NA	NA	NA	NA
-74.75	14.25	NA	NA	NA	NA	NA
-74.25	14.25	NA	NA	NA	NA	NA
-73.75	14.25	NA	NA	NA	NA	NA
-73.25	14.25	NA	NA	NA	NA	NA
-72.75	14.25	NA	NA	NA	NA	NA
-72.25	14.25	NA	NA	NA	NA	NA
-71.75	14.25	NA	NA	NA	NA	NA
-71.25	14.25	NA	NA	NA	NA	NA
-70.75	14.25	NA	NA	NA	NA	NA
-70.25	14.25	NA	NA	NA	NA	NA
-69.75	14.25	NA	NA	NA	NA	NA
-69.25	14.25	NA	NA	NA	NA	NA
-68.75	14.25	NA	NA	NA	NA	NA
-68.25	14.25	NA	NA	NA	NA	NA
-67.75	14.25	NA	NA	NA	NA	NA
-67.25	14.25	NA	NA	NA	NA	NA
-66.75	14.25	NA	NA	NA	NA	NA
-66.25	14.25	NA	NA	NA	NA	NA
-65.75	14.25	NA	NA	NA	NA	NA
-65.25	14.25	NA	NA	NA	NA	NA
-64.75	14.25	NA	NA	NA	NA	NA
-64.25	14.25	NA	NA	NA	NA	NA
-63.75	14.25	NA	NA	NA	NA	NA
-63.25	14.25	NA	NA	NA	NA	NA
-62.75	14.25	NA	NA	NA	NA	NA
-62.25	14.25	NA	NA	NA	NA	NA
-61.75	14.25	NA	NA	NA	NA	NA
-61.25	14.25	NA	NA	NA	NA	NA
-60.75	14.25	NA	NA	NA	NA	NA
-60.25	14.25	NA	NA	NA	NA	NA
-59.75	14.25	NA	NA	NA	NA	NA
-59.25	14.25	NA	NA	NA	NA	NA
-58.75	14.25	NA	NA	NA	NA	NA
-58.25	14.25	NA	NA	NA	NA	NA
-57.75	14.25	NA	NA	NA	NA	NA
-57.25	14.25	NA	NA	NA	NA	NA
-56.75	14.25	NA	NA	NA	NA	NA
-56.25	14.25	NA	NA	NA	NA	NA
-55.75	14.25	NA	NA	NA	NA	NA
-55.25	14.25	NA	NA	NA	NA	NA
-54.75	14.25	NA	NA	NA	NA	NA
-54.25	14.25	NA	NA	NA	NA	NA
-53.75	14.25	NA	NA	NA	NA	NA
-53.25	14.25	NA	NA	NA	NA	NA
-52.75	14.25	NA	NA	NA	NA	NA
-52.25	14.25	NA	NA	NA	NA	NA
-51.75	14.25	NA	NA	NA	NA	NA
-51.25	14.25	NA	NA	NA	NA	NA
-50.75	14.25	NA	NA	NA	NA	NA
-50.25	14.25	NA	NA	NA	NA	NA
-49.75	14.25	NA	NA	NA	NA	NA
-49.25	14.25	NA	NA	NA	NA	NA
-48.75	14.25	NA	NA	NA	NA	NA
-48.25	14.25	NA	NA	NA	NA	NA
-47.75	14.25	NA	NA	NA	NA	NA
-47.25	14.25	NA	NA	NA	NA	NA
-46.75	14.25	NA	NA	NA	NA	NA
-46.25	14.25	NA	NA	NA	NA	NA
-45.75	14.25	NA	NA	NA	NA	NA
-45.25	14.25	NA	NA	NA	NA	NA
-44.75	14.25	NA	NA	NA	NA	NA
-44.25	14.25	NA	NA	NA	NA	NA
-43.75	14.25	NA	NA	NA	NA	NA
-43.25	14.25	NA	NA	NA	NA	NA
-42.75	14.25	NA	NA	NA	NA	NA
-42.25	14.25	NA	NA	NA	NA	NA
-41.75	14.25	NA	NA	NA	NA	NA
-41.25	14.25	NA	NA	NA	NA	NA
-40.75	14.25	NA	NA	NA	NA	NA
-40.25	14.25	NA	NA	NA	NA	NA
-39.75	14.25	NA	NA	NA	NA	NA
-39.25	14.25	NA	NA	NA	NA	NA
-38.75	14.25	NA	NA	NA	NA	NA
-38.25	14.25	NA	NA	NA	NA	NA
-37.75	14.25	NA	NA	NA	NA	NA
-37.25	14.25	NA	NA	NA	NA	NA
-36.75	14.25	NA	NA	NA	NA	NA
-36.25	14.25	NA	NA	NA	NA	NA
-35.75	14.25	NA	NA	NA	NA	NA
-35.25	14.25	NA	NA	NA	NA	NA
-34.75	14.25	NA	NA	NA	NA	NA
-34.25	14.25	NA	NA	NA	NA	NA
-33.75	14.25	NA	NA	NA	NA	NA
-33.25	14.25	NA	NA	NA	NA	NA
-32.75	14.25	NA	NA	NA	NA	NA
-32.25	14.25	NA	NA	NA	NA	NA
-31.75	14.25	NA	NA	NA	NA	NA
-31.25	14.25	NA	NA	NA	NA	NA
-30.75	14.25	NA	NA	NA	NA	NA
-30.25	14.25	NA	NA	NA	NA	NA
-89.75	13.75	24.06492234	4.746204356	133.6019392	970.6737039	95.60581197
-89.25	13.75	23.71846276	5.981064933	144.9374051	857.2608502	92.56807944
-88.75	13.75	23.19540674	7.270338984	152.9986781	766.5736045	89.94345051
-88.25	13.75	23.0773862	7.173805173	148.2870059	727.5649956	83.75422219
-87.75	13.75	22.60281676	7.292620633	144.2425487	692.5466115	79.00527633
-87.25	13.75	22.43691877	7.411981072	139.2990762	698.1554526	74.55148757
-86.75	13.75	22.61405493	7.268261993	135.2105496	748.772502	69.83744955
-86.25	13.75	22.43558421	7.016758018	132.5136076	792.03257	68.08033798
-85.75	13.75	23.10249558	6.838102496	119.6593228	861.8443798	66.79350182
-85.25	13.75	23.61734851	6.165925727	111.1213408	937.5916499	66.66572944
-84.75	13.75	24.24276081	5.153927982	103.0907723	970.52722	67.73608358
-84.25	13.75	25.04256654	3.964238326	96.10943934	947.3129618	69.77596343
-83.75	13.75	25.63068101	2.633110235	93.82171396	908.9804053	72.16750739
-83.25	13.75	NA	NA	NA	NA	NA
-82.75	13.75	NA	NA	NA	NA	NA
-82.25	13.75	NA	NA	NA	NA	NA
-81.75	13.75	NA	NA	NA	NA	NA
-81.25	13.75	NA	NA	NA	NA	NA
-80.75	13.75	NA	NA	NA	NA	NA
-80.25	13.75	NA	NA	NA	NA	NA
-79.75	13.75	NA	NA	NA	NA	NA
-79.25	13.75	NA	NA	NA	NA	NA
-78.75	13.75	NA	NA	NA	NA	NA
-78.25	13.75	NA	NA	NA	NA	NA
-77.75	13.75	NA	NA	NA	NA	NA
-77.25	13.75	NA	NA	NA	NA	NA
-76.75	13.75	NA	NA	NA	NA	NA
