"x"	"y"	"bio.1"	"bio.2"	"bio.3"	"bio.4"	"bio.5"	"bio.6"	"bio.7"	"bio.8"	"bio.9"	"bio.10"	"bio.11"	"bio.12"	"bio.13"	"bio.14"	"bio.15"	"bio.16"	"bio.17"	"bio.18"	"bio.19"
-53.75	-8.75	23.21328015	10.05546398	52.08978256	136.3161213	34.34818568	15.04408518	19.3041005	22.98351731	22.43687615	24.80451546	22.43687615	2292.174956	368.3058369	1.899486788	81.0494347	1063.428593	16.4917387	516.1000563	16.4917387
-58.25	-6.75	24.35450131	9.092729225	55.67281259	91.39884451	33.22412513	16.89168421	16.33244092	24.1229035	23.67478481	25.53089861	23.67478481	2202.374959	337.9385438	10.30506088	65.84428939	935.1197913	69.96986166	492.6431271	69.96986166
-45.25	-6.25	24.80928064	7.156056198	55.21257522	159.7325516	33.11989837	20.1589811	12.96091727	23.71763058	24.85355535	26.91578261	23.71763058	3145.279701	669.3960344	2.543448735	102.8873049	1545.853451	27.46916995	215.7682257	1545.853451
-40.25	-17.25	23.32675452	6.786541133	53.00456518	239.8080829	29.99277196	17.18908022	12.80369174	23.92180176	23.37767372	25.85770753	20.14983506	825.6164726	105.5090666	38.43308213	32.78826857	273.1037261	142.1800688	253.4647994	156.8678782
-38.75	-6.25	23.56171341	7.213636113	60.25841818	115.2343929	30.29402003	18.32285263	11.9711674	23.52004027	24.73796951	24.73796951	21.98714892	1511.587528	308.8693828	12.13446775	97.71718448	744.7300028	57.17826978	57.17826978	80.44426626
-44.75	-9.75	24.31037929	8.223552555	55.10108076	153.2738197	32.59265643	17.66817139	14.92448504	24.33272449	22.62988123	26.37191886	22.62988123	1519.949562	357.4875486	3.264491563	111.8558963	889.8984427	15.24037762	123.105233	15.24037762
-55.25	-18.25	26.0028815	9.933106637	55.50689724	191.9002385	35.04189855	17.14663304	17.89526551	26.90263816	23.514926	28.0191621	23.514926	1376.230812	247.0768675	1.983676332	90.91335679	726.1374609	10.99964977	349.2182718	10.99964977
-57.25	-7.25	23.97451336	9.242686642	54.61186202	87.90189375	33.17962522	16.25530457	16.92432065	23.81379164	23.27059919	25.06971034	23.27059919	2243.961724	343.3978082	7.260811232	68.43742224	963.0846308	55.97868301	519.6135872	55.97868301
-43.25	-10.25	23.75461395	8.622583776	59.1664184	166.6609503	31.57566347	17.00222129	14.57344218	24.50549198	21.52341659	25.28354227	21.52341659	1097.340677	265.6527009	6.368513047	109.1536708	631.956561	30.68597813	82.45900501	30.68597813
-56.25	-1.75	24.57171587	8.3783443	60.42574913	87.57832589	33.85851816	19.99299821	13.86551995	24.41898789	25.81272175	25.81272175	23.83540463	1767.102016	317.1065797	23.96646111	62.31607787	707.8467513	266.1838898	266.1838898	305.2055335
-47.25	-13.25	23.68637079	8.522196753	52.39101894	185.3171714	32.21474655	15.9482243	16.26652225	24.29519767	21.18068134	25.74198533	21.18068134	1211.589408	251.4760917	2.278661191	103.7347173	700.0468341	8.737820742	196.9167243	8.737820742
-46.25	-16.75	22.25377039	8.08632009	51.18590723	244.3566537	29.64059243	13.84265013	15.7979423	24.11103025	18.79358497	24.11103025	18.79358497	895.5095647	171.4572092	6.155570188	92.99607582	476.771886	19.25770441	476.771886	19.25770441
-59.75	-25.75	22.60966217	10.89096742	51.1574285	388.1720494	32.69211072	11.40298861	21.28912211	27.13641753	17.71844888	27.13641753	17.71844888	1188.681969	176.6637963	21.69854977	58.4054633	458.22712	75.22510675	458.22712	75.22510675
-54.75	-2.75	24.46657141	7.514484798	63.62693427	61.19183779	32.0137552	20.2035291	11.8102261	24.35697463	23.89571763	25.33727881	23.89571763	1888.05399	319.3889919	40.65669678	57.89961049	756.6810506	261.3608581	263.177244	261.3608581
-54.25	-2.75	24.33214036	7.479281384	63.7635934	58.50574554	31.80133841	20.07163344	11.72970497	24.22752925	25.15960276	25.15960276	23.7701412	1930.445926	333.3616036	43.37927882	58.46679498	789.5286224	256.591399	256.591399	269.014649
-54.25	-13.25	24.2696088	10.49704126	55.21779721	169.6484643	34.63465177	15.62440183	19.01024994	24.35331317	22.88610547	26.39052147	22.88610547	1511.391989	268.9729857	0.521988786	90.53483125	760.5443498	3.623685208	355.0920475	3.623685208
-56.75	-0.25	24.26052938	8.705851408	59.74676249	102.898135	34.14275869	19.57150655	14.57125214	24.16585769	25.68953165	25.68953165	23.43873756	1652.048758	332.4097695	16.33632368	71.44345054	661.3408357	251.0531573	251.0531573	399.4505944
-56.75	-8.75	23.67563636	9.991796283	53.40586271	102.6901913	34.2042735	15.49509856	18.70917494	23.41860948	23.28751928	24.80852283	23.18789387	2179.929974	335.9077926	2.938329554	73.60020039	958.6372999	30.61351455	551.9202468	638.7589124
-57.75	-17.25	26.48767305	10.17585466	56.10007787	177.0844364	35.53189094	17.39313775	18.13875319	27.33934919	24.37102719	28.39217122	24.37102719	1261.835428	213.5211144	2.089552395	86.56035335	625.9816762	11.06364333	329.7035245	11.06364333
-49.75	-14.75	23.90301949	9.056034989	53.00432224	199.2394968	32.91300374	15.82753862	17.08546512	24.61279693	21.3127813	26.16896249	21.3127813	1293.892032	248.3305978	1.177739262	99.76880713	721.1700321	4.468899864	262.404807	4.468899864
-55.25	-7.25	23.35383268	9.303557861	54.09082877	87.91125937	32.93241319	15.73253278	17.19988041	23.25728448	22.58697936	24.42647388	22.58697936	2424.325916	377.4869209	5.724470298	72.73632916	1069.914535	44.16266544	543.8680757	44.16266544
-49.75	-18.25	22.58287254	9.847487228	53.12549332	253.113886	31.57127968	13.03500526	18.53627442	24.28925353	19.13468821	24.72892372	19.13468821	1273.314915	241.2641569	2.512806837	94.28924611	685.0507369	10.05522541	316.3645691	10.05522541
-62.25	-13.25	24.92506612	10.86074564	55.61346973	155.7418727	34.87082212	15.34183806	19.52898406	25.06319504	24.07299005	26.65626974	23.90780965	1306.83224	216.4342802	2.781612529	75.39720501	565.4722817	21.42295785	357.3392182	362.5977819
