Sciname,Species3,Family3,Order3,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Spartonoica_maluroides,Spartonoica maluroides,Furnariidae,Passeriformes,13,3,9,1,4,13.6,8.5,2.4,3,15.9,49.6,8.8,40.6,17.6,68.6,11,Dunning,NA,NO,NA,NA,Wetland,3,1,Carnivore,Invertivore,Insessorial,-41.17,-28.78,-34.81,-61.589000419999998,1267559.9099999999,Extant
Sylviorthorhynchus_desmursii,Sylviorthorhynchus desmursii,Furnariidae,Passeriformes,7,3,4,0,4,17.4,10.6,2.5,2.6,22.1,50.5,6.8,43.7,13.5,158.1,10.9,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-53.1,-32.22,-43.94,-72.599599029999993,386264.46,Extant
Synallaxis_albescens,Synallaxis albescens,Furnariidae,Passeriformes,36,2,28,6,4,13,8.1,3.1,3.7,19.2,54.4,7.4,47.5,13.8,76.7,11.2,Dunning,NA,NO,NA,NA,Grassland,2,1,Carnivore,Invertivore,Insessorial,-38.54,12.46,-12.31,-55.824602759999998,9891841.7699999996,Extant
Synallaxis_albigularis,Synallaxis albigularis,Furnariidae,Passeriformes,7,3,4,0,4,13.3,8.6,2.9,3.7,19.1,55.3,8,47.3,14.3,68.2,15.4,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Insessorial,-13.54,2.88,-5.43,-72.641814539999999,1133087.18,Extant
Synallaxis_albilora,Synallaxis albilora,Furnariidae,Passeriformes,7,1,4,2,2,14.4,9.4,3.2,3.9,22.2,62.1,7.6,54.5,12.1,75.5,14.86,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Generalist,-22.55,-15.06,-18.2,-56.221101249999997,218221.06,Extant
Synallaxis_azarae,Synallaxis azarae,Furnariidae,Passeriformes,102,10,33,59,40,15.8,8.4,3.1,3.7,21.2,54,7.6,46.1,14.2,90.6,16.9,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,-27.45,10.26,-8.99,-72.33948943,477890.57,Extant
Synallaxis_brachyura,Synallaxis brachyura,Furnariidae,Passeriformes,22,6,15,1,4,16.3,10,3.4,4,21.3,57.9,7.5,51.4,12.6,76.7,18.3,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Insessorial,-4.01,16.03,6.71,-79.898170899999997,403853.13,Extant
Synallaxis_cabanisi,Synallaxis cabanisi,Furnariidae,Passeriformes,7,2,5,0,2,15.9,9.8,3.2,4.4,22.9,62.2,6,54.8,9.9,70,22.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-17.399999999999999,-7.96,-12.95,-71.220282699999998,189613.73,Extant
Synallaxis_candei,Synallaxis candei,Furnariidae,Passeriformes,6,1,4,1,2,13.6,9.6,3.3,4,21.2,58.4,6.8,51.6,11.5,68.8,15.3,Dunning,NA,NO,NA,NA,Woodland,2,1,Carnivore,Invertivore,Terrestrial,7.88,12.46,10.35,-72.469622790000003,156033.91,Extant
Synallaxis_castanea,Synallaxis castanea,Furnariidae,Passeriformes,8,2,6,0,4,15.7,9.6,3,3.8,21.7,58.1,6.5,50.8,11.3,102.8,15,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,10.26,10.53,10.41,-66.973151639999998,2024.49,Extant
Synallaxis_cherriei,Synallaxis cherriei,Furnariidae,Passeriformes,8,1,7,0,4,13.6,8.8,3.2,4.1,19.2,56.6,6.3,50.3,11.1,56.9,16,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-15.84,1.32,-8.6300000000000008,-57.530869969999998,608624.03,Extant
Synallaxis_cinerascens,Synallaxis cinerascens,Furnariidae,Passeriformes,7,1,4,2,3,12.4,7.9,2.7,3.2,19.5,54.1,7.8,47.5,13.9,65.9,13.1,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-33.729999999999997,-18.48,-25.51,-50.721550479999998,1223916.17,Extant
Synallaxis_cinnamomea,Synallaxis cinnamomea,Furnariidae,Passeriformes,7,0,2,5,4,14.4,9.3,3.8,4.1,20.2,54.8,6.1,48.3,11.6,66,18.37,Dunning,NA,NO,NA,NA,Woodland,1,1,Carnivore,Invertivore,Insessorial,4.1500000000000004,11.35,7.87,-70.443294100000003,85347.41,Extant
Synallaxis_courseni,Synallaxis courseni,Furnariidae,Passeriformes,6,2,4,0,4,13.9,8.6,3,3.7,22.3,58.1,5.8,51.9,10.1,109.9,16.8,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,-15.03,-12.91,-13.7,-73.105910870000002,184.95,Extant
Synallaxis_erythrothorax,Synallaxis erythrothorax,Furnariidae,Passeriformes,8,3,5,0,4,19.1,9.8,3.2,4.1,20.3,55.5,5.2,49.7,9.4,65.1,17.1,Dunning,NA,NO,NA,NA,Human Modified,2,1,Carnivore,Invertivore,Insessorial,13.15,21.62,17.91,-90.688215400000004,355771.38,Extant
Synallaxis_frontalis,Synallaxis frontalis,Furnariidae,Passeriformes,26,9,14,3,4,13.7,7.9,2.9,3.8,19.6,57.3,7.3,49.7,12.8,76.9,14,Dunning,NA,NO,NA,NA,Woodland,2,1,Carnivore,Invertivore,Insessorial,-37.81,-2.37,-18.55,-52.300881150000002,5745641.8700000001,Extant
Synallaxis_fuscorufa,Synallaxis fuscorufa,Furnariidae,Passeriformes,7,1,5,1,4,15.2,9.6,3.3,3.4,20.8,56.3,12.7,44.9,22.9,90.3,15.96,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,10.43,11.2,10.85,-73.650095350000001,5052.5200000000004,Extant
Synallaxis_gujanensis,Synallaxis gujanensis,Furnariidae,Passeriformes,17,4,13,0,4,15.6,9.8,3.4,4.1,21.8,60.6,5.5,53.8,9.2,72.4,18.1,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,-18.600000000000001,9.27,-5.65,-61.828110170000002,4483149.18,Extant
Synallaxis_hypospodia,Synallaxis hypospodia,Furnariidae,Passeriformes,11,1,4,6,4,13.9,8.5,3.4,4.2,18.8,55,5.6,49.3,10.2,73.6,16.9,Dunning,NA,NO,NA,NA,Grassland,2,1,Carnivore,Invertivore,Insessorial,-23.9,-3.63,-12.76,-52.120552310000001,3530294.96,Extant
Synallaxis_infuscata,Synallaxis infuscata,Furnariidae,Passeriformes,12,4,8,0,5,15,10,3.6,4.2,21.2,58.1,4.7,53,8.1,70.9,18.2,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-9.56,-6.94,-8.49,-35.70494764,752.18,Extant
Synallaxis_kollari,Synallaxis kollari,Furnariidae,Passeriformes,4,0,3,1,1,14.2,9.5,2.8,3.5,20.6,56.2,5.5,50.7,9.8,71,16,Updated_literature,BoW,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,2.94,4,3.48,-60.254027950000001,4101.24,Extant
Synallaxis_macconnelli,Synallaxis macconnelli,Furnariidae,Passeriformes,11,2,9,0,4,15.1,9.4,3.4,4.1,22,58.8,6,53,10.1,71.7,19.5,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,0.56999999999999995,6.91,4.04,-56.844795779999998,247511.89,Extant
Synallaxis_maranonica,Synallaxis maranonica,Furnariidae,Passeriformes,7,2,5,0,4,15.8,10.2,3,4,21.9,61.6,6.2,55.4,10,69.4,13,Dunning,NA,NO,NA,NA,Woodland,1,1,Carnivore,Invertivore,Generalist,-5.92,-4.5199999999999996,-5.39,-78.751868819999999,4053.01,Extant
Synallaxis_moesta,Synallaxis moesta,Furnariidae,Passeriformes,8,1,6,1,1,15.4,10.4,3.6,4.4,22.5,62,6.7,55.4,10.9,71.8,22.36,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-6.63,5.32,-1.2,-76.477488199999996,205793,Extant
Synallaxis_propinqua,Synallaxis propinqua,Furnariidae,Passeriformes,9,4,4,1,3,17.3,11.6,3.2,3.6,21.8,58.8,6.4,52.7,10.8,69.8,19.89,Dunning,NA,NO,NA,NA,Shrubland,1,1,Carnivore,Invertivore,Insessorial,-11.81,0.18,-4.8499999999999996,-68.301433900000006,531677.41,Extant
Synallaxis_ruficapilla,Synallaxis ruficapilla,Furnariidae,Passeriformes,9,3,6,0,4,15.3,8.9,2.8,3.6,20.3,55.9,6.4,48.6,11.6,74.3,13.8,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-29.76,-17.73,-23.4,-49.169770059999998,1174516.01,Extant
Synallaxis_rutilans,Synallaxis rutilans,Furnariidae,Passeriformes,15,2,13,0,4,14.9,9.1,3.3,4.3,19.5,59.6,7.2,52.1,12.2,70,16.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-15.89,8.2899999999999991,-3.71,-63.08759834,5856806.8600000003,Extant
Synallaxis_scutata,Synallaxis scutata,Furnariidae,Passeriformes,14,4,8,2,4,13.5,8.1,2.8,3.8,18.3,55,6,48.4,10.9,59.4,15.4,Dunning,NA,NO,NA,NA,Shrubland,1,1,Carnivore,Invertivore,Terrestrial,-28.26,-2.64,-13.37,-48.541223500000001,3789577.7,Extant
Synallaxis_spixi,Synallaxis spixi,Furnariidae,Passeriformes,10,2,7,1,4,13.7,7.5,2.9,3.5,19,51.3,6.1,44.6,12.1,95.6,12.6,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Insessorial,-36.01,-12.91,-26.97,-51.539555049999997,1343787.35,Extant
Synallaxis_stictothorax,Synallaxis stictothorax,Furnariidae,Passeriformes,12,3,9,0,4,11.9,8.2,2.5,3.1,17.7,50.9,6.8,43.6,13.5,54.4,10.2,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Insessorial,-7.97,-0.7,-5.17,-79.892065040000006,65570.67,Extant
Synallaxis_subpudica,Synallaxis subpudica,Furnariidae,Passeriformes,14,3,5,6,4,14.3,8.7,2.9,3.7,22.6,62.2,8.2,53.8,13.4,108.3,18.3,Inferred,NA,YES,Body Mass,Synallaxis brachyura,Forest,2,1,Carnivore,Invertivore,Insessorial,4.26,6.34,5.2,-73.539374929999994,15176.74,Extant
Synallaxis_tithys,Synallaxis tithys,Furnariidae,Passeriformes,6,0,6,0,0,15.1,9,3,4.2,19.1,57.1,6.7,50,11.8,89.1,15.8,Dunning,NA,YES,Tail Length,Synallaxis unirufa,Woodland,2,1,Carnivore,Invertivore,Insessorial,-5.46,-0.51,-3.58,-80.16442576,6119.23,Extant
Synallaxis_unirufa,Synallaxis unirufa,Furnariidae,Passeriformes,26,5,19,2,4,15.6,9.2,3.4,3.9,21.9,57.3,6.7,51,11.6,89.1,17.9,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-13.22,10.95,-1.44,-75.82133288,210448.02,Extant
Synallaxis_whitneyi,Synallaxis whitneyi,Furnariidae,Passeriformes,9,1,7,1,2,12.4,9.4,3.2,4.1,20.9,54.9,3.8,50.2,7.1,71.2,16.2,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-16.2,-11.69,-14.11,-40.138561170000003,24736.240000000002,Extant
Synallaxis_zimmeri,Synallaxis zimmeri,Furnariidae,Passeriformes,4,2,2,0,1,13.5,8.6,2.5,3.3,20.7,55.6,6.8,49.2,12.1,92,12.96,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Insessorial,-10.1,-9.4700000000000006,-9.76,-77.810220939999994,521.85,Extant
Syndactyla_dimidiata,Syndactyla dimidiata,Furnariidae,Passeriformes,8,4,4,0,1,20,13.1,3.9,5.7,22.1,83.8,14.7,69.1,17.9,76.2,29.4,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,-23.89,-10.73,-18.09,-50.123453509999997,1723823.38,Extant
Syndactyla_guttulata,Syndactyla guttulata,Furnariidae,Passeriformes,6,1,4,1,1,20.1,13.3,4.2,6.7,23.3,87.3,14.5,72.3,16.8,76.5,36,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,9.7899999999999991,10.6,10.25,-66.1861648,12401.49,Extant
Syndactyla_roraimae,Syndactyla roraimae,Furnariidae,Passeriformes,6,2,3,1,4,20,12,4.1,5.4,21.1,79,12.3,67.5,15.4,84.2,27.54,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,0.72,6.18,4.84,-63.953573570000003,99093.77,Extant
Syndactyla_ruficollis,Syndactyla ruficollis,Furnariidae,Passeriformes,10,5,5,0,4,21.7,14.2,4.1,5.8,22.8,83.3,12,71.5,14.4,79.2,31,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-6.83,-2.73,-4.74,-79.766529899999995,17898.96,Extant
Syndactyla_rufosuperciliata,Syndactyla rufosuperciliata,Furnariidae,Passeriformes,17,5,11,1,3,19.8,12.4,3.9,5.8,22.9,76.1,11.4,64.6,15,78.2,25.6,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-35.99,-4.22,-25.95,-56.201378810000001,1726834,Extant
Syndactyla_subalaris,Syndactyla subalaris,Furnariidae,Passeriformes,27,6,17,4,3,22.7,12.6,4.4,5.9,21.9,87.8,15.5,72.5,17.6,84.4,28.9,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-12.82,10.84,0.79,-75.864009319999994,258113.59,Extant
Tarphonomus_certhioides,Tarphonomus certhioides,Furnariidae,Passeriformes,8,2,6,0,4,26.2,17.9,3.5,4.6,21,71.2,10.2,61.3,14.3,76.6,22.09,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Terrestrial,-38.15,-18.36,-28.55,-63.474807470000002,1267589.78,Extant
Tarphonomus_harterti,Tarphonomus harterti,Furnariidae,Passeriformes,4,2,2,0,1,29,17.9,3.3,4.4,20.8,65.9,7.3,58.6,11,75,23.93,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Terrestrial,-21.84,-15.7,-18.71,-64.890379899999999,70447.429999999993,Extant
Thripadectes_flammulatus,Thripadectes flammulatus,Furnariidae,Passeriformes,13,3,7,3,4,25.2,15,5.4,7.4,29.1,90.3,9,81.8,10,101.5,55.89,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.35,11.18,1.64,-76.668064740000005,57126.720000000001,Extant
Thripadectes_holostictus,Thripadectes holostictus,Furnariidae,Passeriformes,22,8,9,5,4,24,14.4,5,6.7,26.3,84.4,11.3,72.8,13.5,97.5,40.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-17.55,7.75,-7.6,-73.745057639999999,214735.94,Extant
Thripadectes_ignobilis,Thripadectes ignobilis,Furnariidae,Passeriformes,6,2,3,1,4,23.1,13.9,5,7.3,25.4,93.8,13.5,81,14.2,81.6,47.2,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-3.67,6.8,1.97,-77.825790040000001,41009.22,Extant
Thripadectes_melanorhynchus,Thripadectes melanorhynchus,Furnariidae,Passeriformes,13,0,4,9,9,25.3,15.9,5.2,6.6,26.7,94,15.3,78.9,16.2,91.5,44.3,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-13.77,5.43,-6.01,-75.417032329999998,121002.94,Extant
Thripadectes_rufobrunneus,Thripadectes rufobrunneus,Furnariidae,Passeriformes,8,0,4,4,4,25,15.8,5.1,7,27.5,89.1,11.3,77.7,12.7,92.4,56.2,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,8.51,11,9.48,-83.186540210000004,17593.39,Extant
Thripadectes_scrutator,Thripadectes scrutator,Furnariidae,Passeriformes,9,1,8,0,4,25.9,15.9,5.5,7.5,30.8,95.6,8.4,87.2,8.8,108.8,66.29,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-17.420000000000002,-5.47,-10.87,-74.376244459999995,116443.32,Extant
Thripadectes_virgaticeps,Thripadectes virgaticeps,Furnariidae,Passeriformes,7,1,6,0,3,28,17.4,5.6,7.7,28.6,98.1,13.1,85,13.3,92.3,65.8,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-0.83,10.56,4.54,-75.039451420000006,62554.86,Extant
Thripophaga_berlepschi,Thripophaga berlepschi,Furnariidae,Passeriformes,6,1,5,0,2,16.4,10.3,3.3,4,21.4,72.6,10.2,62.3,14.1,74.2,25.2,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.2899999999999991,-5.35,-6.18,-77.971456180000004,2584.21,Extant
Thripophaga_cherriei,Thripophaga cherriei,Furnariidae,Passeriformes,4,1,2,1,4,15.3,10.1,3.3,4.2,18.3,65.5,9,56.5,13.7,68.2,12.8,Updated_literature,Dunning (2021),NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,4.68,4.72,4.7,-67.833271499999995,9.8699999999999992,Extant
Thripophaga_fusciceps,Thripophaga fusciceps,Furnariidae,Passeriformes,13,3,9,1,4,16.4,10.5,4.2,4.8,22.1,76.6,12.1,64.5,15.8,94.8,23,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-15.57,-0.13,-8.65,-68.309041800000003,514581.94,Extant
Thripophaga_macroura,Thripophaga macroura,Furnariidae,Passeriformes,5,0,0,5,4,18,11.7,3.8,4.3,20.4,80.4,14.4,66.1,17.9,83.2,28,Inferred,NA,YES,Body Mass,Thripophaga amacurensis (AVONET1_BirdLife),Forest,1,1,Carnivore,Invertivore,Insessorial,-21.91,-13.57,-16.48,-39.467402079999999,5966.24,Extant
Upucerthia_albigula,Upucerthia albigula,Furnariidae,Passeriformes,6,1,2,3,1,37.4,26.1,4,5.1,25.6,90.8,16.4,74.4,18.1,78,39.9,Dunning,NA,NO,NA,NA,Shrubland,3,1,Carnivore,Invertivore,Terrestrial,-19.850000000000001,-12.08,-16.72,-71.585816390000005,48222.85,Extant
Upucerthia_dumetaria,Upucerthia dumetaria,Furnariidae,Passeriformes,9,4,5,0,4,32.7,26.7,3.8,4.8,25.4,100.1,24.1,75.9,24.1,83.3,48.68,Dunning,NA,NO,NA,NA,Shrubland,3,1,Carnivore,Invertivore,Terrestrial,-54.53,-16.190000000000001,-35.869999999999997,-67.950313570000006,1947260.6,Extant
Upucerthia_jelskii,Upucerthia jelskii,Furnariidae,Passeriformes,8,2,6,0,4,34.4,26.4,3.8,4.7,26.2,82.6,11.7,70.6,14.2,70.8,40.1,Dunning,NA,NO,NA,NA,Grassland,3,1,Carnivore,Invertivore,Terrestrial,-23.92,-8.1199999999999992,-16.809999999999999,-69.760722180000002,521979.99,Extant
Upucerthia_saturatior,Upucerthia saturatior,Furnariidae,Passeriformes,8,3,5,0,4,32.2,24.1,4,4.8,24,96.8,22.5,74.6,23.2,80.4,48.68,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Terrestrial,-43.83,-36.75,-39.35,-71.758508750000004,121803.39,Extant
Upucerthia_serrana,Upucerthia serrana,Furnariidae,Passeriformes,9,2,6,1,4,29.3,19.7,4.2,5.3,28.6,83,7.5,75.8,9,85.2,48.7,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Terrestrial,-13.26,-6.06,-9.58,-76.937683969999995,92999.64,Extant
Upucerthia_validirostris,Upucerthia validirostris,Furnariidae,Passeriformes,8,3,5,0,4,38.6,29.5,4,4.9,27,88.2,12.6,75.7,14.2,75.6,33.6,Dunning,NA,NO,NA,NA,Grassland,3,1,Carnivore,Invertivore,Terrestrial,-33.909999999999997,-21.57,-27.19,-66.939907570000003,246961.11,Extant
Xenerpestes_minlosi,Xenerpestes minlosi,Furnariidae,Passeriformes,4,3,1,0,2,13.5,8.5,3.3,3.6,14.6,54.3,10.9,43.4,20,49,11,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-0.15,9.1300000000000008,6.95,-76.008156650000004,108320.34,Extant
Xenerpestes_singularis,Xenerpestes singularis,Furnariidae,Passeriformes,3,1,2,0,2,12.9,7.4,3.1,3.4,15.8,56.3,10.6,45.8,18.7,48.5,11.6,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-6.19,-0.36,-3.49,-78.272009409999995,30318.97,Extant
Xenops_milleri,Xenops milleri,Furnariidae,Passeriformes,8,3,5,0,4,13.3,8.9,3.1,3.7,15.5,63.5,13.5,50,21.2,38.2,12.2,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-13.68,6.2,-3.01,-66.396789409999997,3558978.04,Extant
Xenops_minutus,Xenops minutus,Furnariidae,Passeriformes,63,14,29,20,7,14.2,10,3.2,4.5,14.7,62,13.8,48.6,22.1,49.2,10.6,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-27.53,21.12,-3.96,-62.01100838,9720618.3399999999,Extant
Xenops_rutilans,Xenops rutilans,Furnariidae,Passeriformes,20,5,13,2,4,13.3,9.3,2.9,4.5,14.3,65.8,15.5,50.4,23.5,49,11.2,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-30.64,11.58,-13.23,-54.68651792,6929954.1500000004,Extant
Xenops_tenuirostris,Xenops tenuirostris,Furnariidae,Passeriformes,8,4,3,1,4,12.6,8.7,2.9,3.7,13.3,61.1,14.2,46.9,23.3,38.2,9.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-15.36,7.55,-4.21,-64.5518742,3583718.57,Extant
Acropternis_orthonyx,Acropternis orthonyx,Rhinocryptidae,Passeriformes,9,2,5,2,4,22.9,10.4,4.5,6.5,36.4,94.8,5.2,89.9,5.5,88.9,89.86,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.46,9.74,1.6,-76.740208789999997,112912,Extant
Eleoscytalopus_indigoticus,Eleoscytalopus indigoticus,Rhinocryptidae,Passeriformes,6,1,2,3,4,15,7.5,3.3,3.6,19.6,51.9,4,49,7.6,35.9,16.15,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,-30.27,-14.24,-22.81,-46.375327319999997,454702.62,Extant
Eleoscytalopus_psychopompus,Eleoscytalopus psychopompus,Rhinocryptidae,Passeriformes,3,1,1,1,3,13,8.1,3.4,3.4,19.4,52.3,4.4,47.9,8.3,34.1,17.8,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,-15.47,-13.2,-14.13,-39.10394067,5194.76,Extant
Eugralla_paradoxa,Eugralla paradoxa,Rhinocryptidae,Passeriformes,6,2,4,0,4,16.4,8.4,3.6,4.9,26,58.8,4.8,54.4,8.1,50.1,44,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Generalist,-44.39,-34.11,-40.01,-72.67780209,124178,Extant
Liosceles_thoracicus,Liosceles thoracicus,Rhinocryptidae,Passeriformes,6,1,3,2,4,21.4,11.5,4.2,5.5,28.3,72.6,5.8,67.2,7.8,72.4,40.47,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,-13.94,1.5,-6.23,-68.722610739999993,2273901.19,Extant
Melanopareia_elegans,Melanopareia elegans,Rhinocryptidae,Passeriformes,7,2,4,1,4,17,10.2,3.4,3.6,25.9,53.1,2.7,49.8,4.7,57.9,16,Dunning,NA,NO,NA,NA,Woodland,1,1,Carnivore,Invertivore,Terrestrial,-7.99,0.08,-4.01,-79.886997100000002,81037.63,Extant
Melanopareia_maranonica,Melanopareia maranonica,Rhinocryptidae,Passeriformes,5,3,2,0,3,17.3,9.5,3.7,3.9,25.9,58.9,5,54.3,8.3,72.8,23,Dunning,NA,NO,NA,NA,Woodland,1,1,Carnivore,Invertivore,Terrestrial,-6.02,-4.74,-5.4,-78.897201280000004,10057.19,Extant
Melanopareia_maximiliani,Melanopareia maximiliani,Rhinocryptidae,Passeriformes,5,4,1,0,4,14.3,7,3.1,3.4,22,52.1,3.5,48.4,6.7,72.3,18,Dunning,NA,NO,NA,NA,Woodland,1,1,Carnivore,Invertivore,Terrestrial,-32.61,-15.68,-25.02,-61.98017754,752374.15,Extant
Melanopareia_torquata,Melanopareia torquata,Rhinocryptidae,Passeriformes,10,5,3,2,4,12.4,7.5,3.3,3.7,20,51.5,4.4,48,8.6,59.9,17.2,Dunning,NA,NO,NA,NA,Woodland,1,1,Carnivore,Invertivore,Terrestrial,-24.31,-6.67,-14.6,-50.70102223,2770968.6,Extant
Merulaxis_ater,Merulaxis ater,Rhinocryptidae,Passeriformes,6,2,3,1,4,21.2,11.4,4.3,5.3,26.1,66.2,3.5,62.2,5.3,83.4,35.03,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,-27.33,-15.21,-21.4,-43.751097280000003,163731.48000000001,Extant
Merulaxis_stresemanni,Merulaxis stresemanni,Rhinocryptidae,Passeriformes,1,1,0,0,1,21,10.9,4.9,5.9,25.3,75,3,72,4,97,35,Inferred,NA,YES,Body Mass,Merulaxis ater,Forest,1,1,Carnivore,Invertivore,Terrestrial,-15.83,-15.76,-15.79,-40.524325300000001,21.75,Extant
Myornis_senilis,Myornis senilis,Rhinocryptidae,Passeriformes,5,3,2,0,4,16.6,8.7,3.5,4.4,21.7,56.9,7.2,50.1,12.5,62.7,21.2,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-10.35,7.44,0.25,-76.421655150000007,118973.23,Extant
Psilorhamphus_guttatus,Psilorhamphus guttatus,Rhinocryptidae,Passeriformes,6,2,3,1,4,15.9,9.6,3,3.2,25.1,49.1,4.4,44.1,9,57.8,11.3,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-29.68,-19.46,-24.3,-48.681235020000003,410870.11,Extant
Pteroptochos_castaneus,Pteroptochos castaneus,Rhinocryptidae,Passeriformes,6,2,4,0,4,22.4,12.7,4.4,6.8,44.8,103.1,7,94.2,7.2,87.3,160.58,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Generalist,-37.94,-34.75,-36.380000000000003,-71.650627850000006,53074.04,Extant
Pteroptochos_megapodius,Pteroptochos megapodius,Rhinocryptidae,Passeriformes,7,2,5,0,4,22.4,11.8,5,7.2,42.2,98,4,92.8,4,79.1,114,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Terrestrial,-37.33,-27.42,-32.729999999999997,-71.344874809999993,111842.63,Extant
