Sciname,Species3,Family3,Order3,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Phacellodomus_inornatus,Phacellodomus inornatus,Furnariidae,Passeriformes,5,4,0,1,4,16.3,10.4,3.5,5,20.3,64.8,6.4,57.9,9.9,69.8,24,Updated_literature,Thomas (1983),NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Terrestrial,4.53,10.94,8.24,-67.8429754,378209.09,Extant
Phacellodomus_maculipectus,Phacellodomus maculipectus,Furnariidae,Passeriformes,9,3,5,1,4,16.5,10.2,3.4,4.5,20.8,60,6.3,53.6,10.5,85.4,21.9,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Generalist,-30.24,-17.63,-24.51,-65.257083129999998,119584.53,Extant
Phacellodomus_ruber,Phacellodomus ruber,Furnariidae,Passeriformes,8,3,4,1,4,19.5,12.5,4,5.4,22.9,73.3,8.8,64.5,12.1,85.5,41,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Generalist,-31.17,-8.91,-17.97,-55.061115690000001,2766219.77,Extant
Phacellodomus_rufifrons,Phacellodomus rufifrons,Furnariidae,Passeriformes,19,3,9,7,4,16,10.1,3.4,4.9,19.8,64.1,9.1,55.7,14.1,66.9,24.6,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Terrestrial,-28.73,-4.4000000000000004,-15.67,-49.57925255,2793273.52,Extant
Phacellodomus_sibilatrix,Phacellodomus sibilatrix,Furnariidae,Passeriformes,4,1,3,0,1,13.7,8.5,2.9,3.8,17.5,55.6,6.2,49.5,11.1,58,15.5,Dunning,NA,NO,NA,NA,Woodland,2,1,Carnivore,Invertivore,Generalist,-36.07,-18.89,-27.34,-61.342444929999999,1150059.83,Extant
Phacellodomus_striaticeps,Phacellodomus striaticeps,Furnariidae,Passeriformes,7,0,5,2,4,16.7,11,3.2,4.5,21.8,68.1,6.9,61.2,10.1,72.8,29.1,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Generalist,-28.18,-13.24,-20.04,-66.724960300000006,304772.68,Extant
Phacellodomus_striaticollis,Phacellodomus striaticollis,Furnariidae,Passeriformes,9,3,5,1,4,17.5,10.7,3.5,4.6,20.2,64,6.7,57,10.5,81.2,25.7,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Generalist,-36.83,-25.1,-31.5,-57.479573049999999,651178.34,Extant
Philydor_atricapillus,Philydor atricapillus,Furnariidae,Passeriformes,18,4,7,7,3,18.5,11.6,3.9,5.4,20.1,80.5,15.2,65.7,18.6,74.8,22.2,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-30.12,-12.79,-22.21,-47.847096030000003,1129776.92,Extant
Philydor_erythrocercum,Philydor erythrocercum,Furnariidae,Passeriformes,20,8,9,3,10,20,11.8,4.4,5.6,19.7,86.7,16.3,69.9,18.8,70.3,25.27,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-17.27,7.11,-5.59,-61.840091229999999,5418434.1299999999,Extant
Philydor_erythropterum,Philydor erythropterum,Furnariidae,Passeriformes,8,1,3,4,5,21.4,14,4.9,6,21.8,91,17,74,18.6,68.8,30,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-15.67,5.67,-6.3,-66.180906750000005,3018856.23,Extant
Philydor_fuscipenne,Philydor fuscipenne,Furnariidae,Passeriformes,13,6,6,1,3,19.4,11.9,4.1,5.6,19,86.7,16.6,70,19,68.7,26.45,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-3.68,9.52,6.66,-76.263377149999997,111453.84,Extant
Philydor_lichtensteini,Philydor lichtensteini,Furnariidae,Passeriformes,8,0,6,2,4,16.9,11,3.7,5.2,18.6,78.2,13.8,64.6,17.5,74,21,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-29.59,-13.51,-21.76,-49.370203420000003,1589284.85,Extant
Philydor_novaesi,Philydor novaesi,Furnariidae,Passeriformes,4,1,3,0,4,18.8,12.2,4.6,6.1,20.9,94,18,76,19.2,87.5,38,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,NA,NA,NA,NA,NA,Extinct
Philydor_pyrrhodes,Philydor pyrrhodes,Furnariidae,Passeriformes,18,6,7,5,4,19.9,11.9,4.3,5.7,20.5,82.6,15,67.7,18.1,62.4,30.5,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-15.24,8.18,-3.15,-62.477515619999998,5868049.1500000004,Extant
Philydor_ruficaudatum,Philydor ruficaudatum,Furnariidae,Passeriformes,9,2,7,0,4,18.1,10.8,4,5.5,19.3,90.2,16.4,73.6,18.2,74.1,30.1,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-17.02,7.62,-3.69,-61.896886629999997,4312236.42,Extant
Philydor_rufum,Philydor rufum,Furnariidae,Passeriformes,10,2,8,0,4,20.6,13.3,4.3,5.6,24.1,87.4,17.2,70.5,19.8,85,25,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-29.01,11.24,-18.59,-54.037499599999997,2187683.25,Extant
Phleocryptes_melanops,Phleocryptes melanops,Furnariidae,Passeriformes,10,4,6,0,4,18.2,11.4,2.6,3.2,20.3,57,10.6,46.1,18.7,51.9,14.6,Dunning,NA,NO,NA,NA,Wetland,2,1,Carnivore,Invertivore,Insessorial,-52.07,-5.48,-33.46,-65.935299670000006,3522776.03,Extant
Premnoplex_brunnescens,Premnoplex brunnescens,Furnariidae,Passeriformes,62,9,25,28,12,17.1,10.1,3.4,3.7,20.1,60,8.3,50.9,14,61.1,16.3,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-17.84,11.1,-2.85,-74.219032240000004,406258.31,Extant
