"x"	"y"	"bio.1"	"bio.2"	"bio.4"	"bio.12"	"bio.15"
-43.75	-16.25	22.65851093	8.024266617	268.6463409	648.021463	80.81739629
-67.75	7.75	27.9483098	8.167931095	84.24876576	1272.287434	96.38703801
-78.25	-39.75	NA	NA	NA	NA	NA
-80.75	-39.25	NA	NA	NA	NA	NA
-73.25	0.75	23.01161661	7.264586668	36.76571062	2568.272124	31.93121674
-31.25	-45.75	NA	NA	NA	NA	NA
-35.75	-16.75	NA	NA	NA	NA	NA
-76.25	8.25	25.39999017	8.906749038	98.74432044	2745.718308	84.42088314
-54.25	-5.25	23.47782225	7.976660218	63.6221196	2478.118705	64.77737191
-71.75	-54.75	NA	NA	NA	NA	NA
-44.25	2.25	NA	NA	NA	NA	NA
-66.75	-10.75	25.2980069	10.63003603	118.3728763	1290.636451	61.68519301
-36.25	-47.75	NA	NA	NA	NA	NA
-41.25	-11.75	21.99297387	7.663473485	219.479008	735.7837972	61.73520856
-89.25	-37.75	NA	NA	NA	NA	NA
