"lon"	"lat"	"cells"	"id"	"bio.1"	"bio.2"	"bio.3"	"bio.4"	"bio.5"	"bio.6"	"bio.7"	"bio.8"	"bio.9"	"bio.10"	"bio.11"	"bio.12"	"bio.13"	"bio.14"	"bio.15"	"bio.16"	"bio.17"	"bio.18"	"bio.19"
-56.689361	-20.598509	7593	17126	25.35064277	9.832796071	56.57674256	238.1173724	33.32759068	15.94801804	17.37957264	27.29635904	22.15222942	27.29635904	22.15222942	1270.97559	223.2156364	7.121929283	83.64344201	646.5051902	31.45581467	646.5051902	31.45581467
-57.11938	-19.328109	7274	17021	26.77234544	9.61437074	55.86662029	205.0967473	34.89989966	17.69039121	17.20950845	28.12348025	24.03234371	28.62639306	24.03234371	1240.433767	214.0931438	3.99659826	86.11444633	633.5296557	19.96790692	331.0026352	19.96790692
-54.631448	-20.467707	7491	17567	23.68638667	10.53531496	56.03339396	235.8095874	32.76164715	13.95979665	18.8018505	25.41727846	20.64982953	25.54917619	20.64982953	1394.028417	252.1644034	4.53633305	87.99957202	730.2817153	23.0211532	370.4492951	23.0211532
-55.083947	-19.943579	7384	17460	24.5547115	10.3484796	56.26300741	221.429436	33.59984789	15.20680409	18.3930438	26.06085118	21.65653993	26.43448411	21.65653993	1383.00812	251.1598759	3.802113748	88.73540731	727.4371158	19.92813064	362.8395863	19.92813064
-56.103627	-9.401106	5156	17261	23.67636551	10.1173419	53.88267964	120.7547531	34.25005702	15.47344463	18.77661239	23.36019546	23.33819425	24.97150743	23.03556491	2128.240113	333.8863966	1.991261826	76.58555632	956.1445213	21.59694756	538.7932945	611.7053495
-58.435206	-16.333566	6636	16801	26.48228833	9.79283376	55.02840894	165.2680931	35.43861891	17.6426587	17.79596021	27.11904413	24.59294128	28.38097502	24.59294128	1251.911632	209.2439588	1.805252451	85.19183401	600.9538711	9.627774118	330.5310307	9.627774118
-56.473439	-21.100436	7700	17237	24.08730476	10.10345244	56.50736766	254.8028142	32.30831942	14.42843426	17.87988516	26.27618537	20.66831424	26.27618537	20.66831424	1312.628254	231.5551745	8.502619653	82.73672095	665.3544357	36.31110657	665.3544357	36.31110657
-49.676167	-5.844894	4427	18674	23.81509054	8.307919136	53.57699176	101.6048109	33.12063897	17.61413354	15.50650543	23.30300489	23.5921669	25.02534438	23.30300489	2952.190441	492.8250632	9.100977895	81.68527736	1291.910813	56.05662904	430.1753662	1291.910813
-59.010959	-16.711918	6740	16570	26.05834291	9.769085584	55.5528379	172.6068308	34.56805889	16.98284461	17.58521428	26.90437544	24.05157517	27.89043017	24.05157517	1203.934759	201.3698884	2.58751741	83.54115657	575.7308082	14.2251469	318.5018716	14.2251469
-56.377802	-16.513124	6746	17246	26.19921991	10.03085536	55.34136838	175.3132484	35.58500599	17.45958616	18.12541983	26.83375257	24.05843867	28.21855117	24.05843867	1337.923798	229.7217752	1.411342421	89.315768	681.4920573	7.368901984	343.5173659	7.368901984
-57.759427	-16.089752	6637	16916	26.48223939	9.967569455	55.18585281	166.7778981	35.72061925	17.65879915	18.0618201	27.11776305	24.52428018	28.40844259	24.52428018	1278.644539	215.1174057	1.616960131	86.22472216	621.7326427	8.433333423	336.3050752	8.433333423
-46.759481	-10.550958	5493	19232	24.23849103	8.378085799	54.06263363	156.9684879	32.95259987	17.45560086	15.49699901	24.11164668	22.62780393	26.48551605	22.62780393	1554.54213	339.6625457	1.645624526	107.0014753	903.4950822	7.571964466	193.0823043	7.571964466
-47.945861	-15.961995	6551	19038	21.65674719	8.326574805	50.04074566	239.9697742	29.90408492	13.26449513	16.63958979	23.15077009	18.29328115	23.74511001	18.29328115	1076.962163	200.6470719	4.224699098	96.94656021	591.5612153	13.53240044	224.156478	13.53240044
-57.558905	-25.287667	8545	16898	22.8046233	10.68119618	52.91130292	375.7945037	31.87543756	11.6884537	20.18698386	27.00473721	17.93948066	27.00473721	17.93948066	1297.281776	191.7328033	25.97102929	60.98194251	534.3527856	89.49716263	534.3527856	89.49716263
-47.537579	-10.723571	5491	19048	24.69814753	8.565570457	54.51831058	152.6520301	33.73543553	18.0240711	15.71136443	24.46740279	23.3421248	26.91798064	23.3421248	1674.699076	352.6897106	0.912494922	104.6639585	958.1732516	4.68228286	233.9169337	4.68228286
-53.332203	-7.739514	4844	17922	23.10398619	9.669651093	52.42282437	113.9359792	33.74353753	15.29803939	18.44549814	22.93619345	22.32340068	24.45485653	22.32340068	2499.402007	397.8203967	3.459910778	78.81152143	1143.76193	26.88866042	536.4152169	26.88866042
-57.848857	-21.700983	7803	16905	25.38973724	10.06539442	57.65020474	265.3391596	33.0016831	15.54225782	17.45942528	27.86862845	21.90289499	27.86862845	21.90289499	1204.723326	199.3379793	10.67028429	77.59874487	581.9630511	42.98199949	581.9630511	42.98199949
-55.786518	-19.25696	7277	17351	25.61061258	10.00603575	55.76631356	206.9779504	34.46339309	16.52059732	17.94279577	26.8887388	22.85908196	27.51976919	22.85908196	1348.97712	243.6397565	3.179635502	89.04747463	708.6527809	16.97114718	349.9953178	16.97114718
-57.472667	-22.261167	7910	17015	24.67546729	10.26132132	57.84999257	274.0500351	32.4093571	14.67154788	17.73780922	27.26435829	21.11489154	27.26435829	21.11489154	1229.158864	201.183829	12.44944101	76.06991898	587.4445009	48.80262075	587.4445009	48.80262075
-52.041223	-2.619515	3786	18155	24.16215162	7.160468073	62.88049574	51.05792618	31.25024114	19.86281808	11.38742306	24.05939102	24.84465433	24.84465433	23.6145921	2342.238947	400.6076146	51.79944018	61.52649728	1015.847626	261.2635856	261.2635856	303.8562705
-54.938104	-19.44762	7279	17569	24.73649857	10.10946136	56.12180539	208.5017159	33.67459023	15.6611616	18.01342863	26.00147056	21.98884341	26.65067569	21.98884341	1408.826409	257.2927072	2.876600979	90.3061144	746.9532271	15.83409021	363.6194349	15.83409021
-55.987959	-9.246651	5157	17371	23.6005803	10.0818166	54.10279151	127.1723663	34.03949133	15.40493234	18.63455899	23.27881333	23.21838333	24.97367855	22.93144599	2144.427694	338.9648222	1.779807107	77.8997327	972.8836323	18.93486128	532.8057574	619.8034427
-46.879674	-10.150329	5387	19233	24.45252103	8.234328822	54.35161424	152.4907689	33.15138623	18.00127719	15.15010904	24.16838209	23.06567905	26.71982426	23.06567905	1672.368479	365.9586507	1.475129167	107.3566047	970.5673605	7.139801362	197.9600435	7.139801362
-53.654706	-22.325011	7917	17782	22.29925762	10.83379413	56.80479351	292.7992035	30.97042397	11.8984523	19.07197167	25.01140226	18.44963415	25.01140226	18.44963415	1381.194961	247.1199638	9.879260353	83.10199241	711.9941689	42.281831	711.9941689	42.281831
-56.098521	-9.877939	5262	17260	23.82984309	10.07412679	53.26970683	141.1307375	34.37827345	15.4667243	18.91154915	23.57322905	23.30072852	25.29268943	23.15272535	2036.51088	322.5870425	1.635228538	78.125209	925.1583575	17.48043019	517.4367276	576.4353645
-57.323865	-17.8239	6956	17024	26.55491451	10.23473494	56.47196442	180.827753	35.62688515	17.50331703	18.12356812	27.44491902	24.34926898	28.47766945	24.34926898	1274.510982	216.4811842	2.278740621	87.35716698	643.1323689	12.07507997	331.4787642	12.07507997
-50.590142	-6.156548	4531	18465	23.44796375	8.66236849	53.37584461	100.2122809	32.87877605	16.64977105	16.229005	23.11610091	22.95483615	24.6530264	22.95483615	2844.732926	449.2867329	6.891761791	80.14133709	1280.005359	44.56957878	487.6467049	44.56957878
-57.501433	-22.174172	7909	16904	25.09036849	10.2626075	58.10467732	277.3962067	32.70358102	15.04130671	17.66227431	27.77306654	21.48125927	27.77306654	21.48125927	1204.216935	196.240146	12.35917138	75.22451484	569.3422985	48.52572305	569.3422985	48.52572305
