"lon"	"lat"	"cells"	"bio.1"	"bio.2"	"bio.4"	"bio.12"	"bio.15"
-52.70128	-17.288597	7755	22.57280642	10.16838937	214.0106353	1502.463118	93.8943787
-49.363768	-8.015833	5602	25.73636011	8.165723085	133.4274032	2405.466306	95.02110333
-49.374485	-7.999063	5482	25.53037343	8.014220035	136.883287	2550.557432	93.04677115
-42.791832	-5.070148	4895	26.86601569	7.350739106	151.9714095	2564.476789	108.1425035
-56.861843	-19.91042	8347	26.24211421	9.651894367	214.7803182	1271.506957	86.31469509
-55.612633	-19.506732	8349	25.05730706	10.14722193	218.7793138	1348.492272	88.1437674
-48.473096	-8.041978	5604	26.00730375	7.936136588	141.9639026	2373.752705	99.15278393
-52.661709	-22.163207	8955	22.46786561	11.0271075	283.1792564	1371.164164	84.58013594
-55.863286	-16.345835	7509	25.43336395	9.877294065	177.0709537	1372.190927	89.91129899
-47.78639	-14.165708	7045	23.05006668	8.379366065	202.8767244	1157.949021	101.210121
-46.38608	-13.520258	6928	23.62227929	8.174898248	207.4294234	1003.181158	101.2567322
-56.346685	-19.371646	8228	26.09935868	9.836951876	205.5867069	1311.472002	88.22949469
-54.897491	-19.939134	8351	24.25074063	10.30803605	221.1713615	1400.768779	89.21142077
-50.7125	-3.847	4519	23.91238246	7.451159933	52.08343133	2852.333448	68.71704726
-50.518956	-6.729223	5239	23.63937686	8.767188441	117.4585247	2771.03911	82.41022705
-56.194309	-2.503303	4268	24.74968104	7.906425356	76.88942589	1981.90535	58.01007047
-51.059754	-6.531044	5238	23.3905253	8.948336095	111.3636477	2754.877179	80.39695075
-57.84441	-21.09977	8705	25.88635105	9.853438193	252.6029263	1206.304822	79.64822886
-56.916649	-19.478556	8227	26.45759759	9.725582122	205.0284793	1275.265191	87.2893009
-57.182765	-15.076356	7266	25.78690753	9.858939516	155.3824049	1337.001729	86.19353016
-55.724802	-15.43634	7269	25.02506467	9.660286244	169.6182848	1396.609423	89.24014323
-53.343258	-18.252828	7994	22.73134791	9.877474978	215.0597687	1485.733638	92.80408973
-49.419486	-14.211836	7042	24.06548047	8.892288247	191.6470242	1284.038463	101.0223154
-57.664447	-18.935597	8105	26.72298862	9.976843803	199.6081746	1226.383279	85.52319863
-56.3503	-16.3811	7508	25.9794358	9.929627324	173.0911006	1347.744481	89.06103997
-50.586376	-13.233856	6799	25.22207867	9.229361522	171.4810991	1417.527062	98.54907988
-54.330357	-9.761888	5952	23.71516479	10.29037052	159.2517376	2079.853024	83.01545216
-56.214664	-2.497458	4148	24.82180274	8.065479665	81.3871457	1873.921817	59.5742236
-57.36	-22.68	9066	24.76368901	10.33290477	288.3654786	1229.165074	73.79074684
-55.931108	-9.597261	5949	23.76927337	10.11003239	145.1117009	2055.880772	79.24263329
-50.81978	-5.922444	4999	23.38994725	8.509023001	81.91474389	2909.257754	77.1008863
-56.65	-18.983333	8107	26.56360154	9.858578032	195.7719289	1282.309155	87.81831468
-57.20581	-18.625424	8106	26.68268372	9.929368273	195.9505682	1252.349182	86.67932974
-59.945732	-15.007933	7261	25.15685068	9.997477953	162.2388555	1246.458444	81.84451722
-48.563071	-6.443599	5123	25.01533814	7.582464712	137.891207	2901.064464	89.18968992
-59.518056	-19.559722	8341	26.74638593	9.614536259	251.1664951	1087.430037	78.26327882
-57.55	-22.733333	9065	25.09517987	10.33454534	293.1485757	1206.95304	72.99073625
-51.456289	-13.653353	6918	24.94262067	9.321490372	177.431362	1394.744241	97.52385469
-56.416769	-14.833113	7148	24.95037434	9.779130101	152.743228	1409.204452	87.85942249
-56.425781	-17.66496	7868	26.59083804	9.915755397	183.9515383	1320.096606	89.27723846
-54.96417	-8.746311	5711	23.24762696	9.979841793	122.4937116	2268.530896	78.49983337
-56.667438	-21.008641	8707	24.75847081	10.02248299	250.8964782	1271.658531	81.72271629
-52.888398	-18.260979	7995	22.12505185	9.97153922	232.715898	1474.267458	92.77412987
-56.55632	-15.736433	7387	26.09097168	9.820955047	166.8193171	1332.612756	87.7532451
-48.306885	-10.206813	6084	25.22946157	8.601418832	143.3804963	1819.550131	102.7321768
-55.838013	-18.994609	8109	26.02990722	9.920979613	197.6813293	1346.598222	89.70265312
-55.892644	-15.696177	7389	25.23613665	9.72423857	175.1375866	1379.876218	89.62875836
-57.4334	-21.0334	8706	25.41732265	9.93215311	249.4584042	1233.756117	80.65207954
-55.690513	-5.979893	4989	23.84786352	8.44726276	76.78813932	2361.263536	66.12903452
-54.363849	-21.927788	8832	22.78956984	10.55847453	272.5253263	1376.344264	84.1806907
-55.26	-24.11	9430	22.04112442	10.66978301	317.6267828	1373.831764	68.48095607
-46.957778	-22.431944	8967	18.09264364	10.01304423	304.046338	1385.931844	78.39332351
-61.008	-13.535	6898	24.38047163	10.78593953	163.9398126	1333.516183	78.13224658
-57.475161	-15.642929	7386	26.34598937	9.907892427	163.1535665	1306.871517	86.58980364
-48.58	-12.05	6563	24.9377957	8.83470592	161.8161125	1485.388996	103.0744909
-54.7	-2.43	4151	24.51054691	7.598194293	65.17199083	1740.421242	60.63646193
-40.8	-18.7	8139	22.51989511	4.781943381	215.9932158	907.5285271	36.6040929
-47.87	-12.55	6685	24.12704211	8.757484508	174.4112378	1336.722149	104.6364519
-53.48	-1.8	4034	24.00632851	7.270967119	55.40856381	1851.194596	64.4449576
-46.95	-12.93	6687	23.99225105	8.714581933	178.3812272	1200.178201	104.8298205
-54.75	-18.5	8111	25.07540406	9.969888272	200.2986922	1411.330077	91.11124633
-53.2	-10.333333	6074	24.01874745	10.32782829	168.7398769	1978.981348	87.15141062
