"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","unique_id","Best_match_overall_score","Best_match_highertaxa"
"44","Thelypteris simulata (Davenport) Nieuwl.","0.96562","1684794","Thelypteris simulata","1","species","(Davenport) Nieuwl.","(Davenp.) Nieuwl.","0.8281","(Davenp.) Nieuwl.","Aspleniaceae","Thelypteris","Thelypteris","1","simulata","simulata","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:252343-2","","Y","Accepted","Thelypteris simulata","Thelypteris simulata","(Davenp.) Nieuwl.","1684794","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:252343-2","","Aspleniaceae",1,"1","wcvp","","44",true,true
"45","Impatiens capensis Meerb.","1","722621","Impatiens capensis","1","species","Meerb.","Meerb.","1","Meerb.","Balsaminaceae","Impatiens","Impatiens","1","capensis","capensis","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30008241-2","","Y","Accepted","Impatiens capensis","Impatiens capensis","Meerb.","722621","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30008241-2","","Balsaminaceae",1,"1","wcvp","","45",true,true
"46","Poa pratensis L.","1","885096","Poa pratensis","1","species","L.","L.","1","L.","Poaceae","Poa","Poa","1","pratensis","pratensis","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:417792-1","","Y","Accepted","Poa pratensis","Poa pratensis","L.","885096","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:417792-1","","Poaceae",1,"1","wcvp","","46",true,true
"47","Symphyotrichum cordifolium (L.) G.L. Nesom","1","127661","Symphyotrichum cordifolium","1","species","(L.) G.L. Nesom","(L.) G.L.Nesom","1","(L.) G.L.Nesom","Asteraceae","Symphyotrichum","Symphyotrichum","1","cordifolium","cordifolium","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:981790-1","","Y","Accepted","Symphyotrichum cordifolium","Symphyotrichum cordifolium","(L.) G.L.Nesom","127661","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:981790-1","","Asteraceae",1,"1","wcvp","","47",true,true
"48","Toxicodendron radicans (L.) Kuntze","1","1036491","Toxicodendron radicans","1","species","(L.) Kuntze","(L.) Kuntze","1","(L.) Kuntze","Anacardiaceae","Toxicodendron","Toxicodendron","1","radicans","radicans","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:255769-2","","Y","Accepted","Toxicodendron radicans","Toxicodendron radicans","(L.) Kuntze","1036491","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:255769-2","","Anacardiaceae",1,"1","wcvp","","48",true,true
"49","Ilex verticillata (L.) A. Gray","1","1064700","Ilex verticillata","1","species","(L.) A. Gray","(L.) A.Gray","1","(L.) A.Gray","Aquifoliaceae","Ilex","Ilex","1","verticillata","verticillata","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:83852-1","","Y","Accepted","Ilex verticillata","Ilex verticillata","(L.) A.Gray","1064700","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:83852-1","","Aquifoliaceae",1,"1","wcvp","","49",true,true
"50","Dryopteris marginalis (L.) A. Gray","1","1092775","Dryopteris marginalis","1","species","(L.) A. Gray","(L.) A.Gray","1","(L.) A.Gray","Polypodiaceae","Dryopteris","Dryopteris","1","marginalis","marginalis","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30064660-2","","Y","Accepted","Dryopteris marginalis","Dryopteris marginalis","(L.) A.Gray","1092775","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30064660-2","","Polypodiaceae",1,"1","wcvp","","50",true,true
"51","Osmunda cinnamomea L. var. cinnamomea","0.59957384396743","1094527","Osmunda cinnamomea","0.59957384396743","species","","","","L.","Osmundaceae","Osmunda","Osmunda","1","cinnamomea","cinnamomea","1","","","","","","","","","","","var. cinnamomea","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:281798-2","","Y","Synonym","Osmundastrum cinnamomeum","Osmundastrum cinnamomeum","(L.) C.Presl","1098738","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60447721-2","","Osmundaceae",1,"1","wcvp","[Partial]","51",true,true
"52","Tsuga canadensis (L.) Carriere","0.97596","450324","Tsuga canadensis","1","species","(L.) Carriere","(L.) Carrière","0.8798","(L.) Carrière","Pinaceae","Tsuga","Tsuga","1","canadensis","canadensis","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:264005-1","","Y","Accepted","Tsuga canadensis","Tsuga canadensis","(L.) Carrière","450324","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:264005-1","","Pinaceae",1,"1","wcvp","","52",true,true
"53","Vaccinium angustifolium Aiton","1","417184","Vaccinium angustifolium","1","species","Aiton","Aiton","1","Aiton","Ericaceae","Vaccinium","Vaccinium","1","angustifolium","angustifolium","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:858831-1","","Y","Accepted","Vaccinium angustifolium","Vaccinium angustifolium","Aiton","417184","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:858831-1","","Ericaceae",1,"1","wcvp","","53",true,true
"54","Eurybia divaricata (L.) G.L. Nesom","1","60199","Eurybia divaricata","1","species","(L.) G.L. Nesom","(L.) G.L.Nesom","1","(L.) G.L.Nesom","Asteraceae","Eurybia","Eurybia","1","divaricata","divaricata","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:981726-1","","Y","Accepted","Eurybia divaricata","Eurybia divaricata","(L.) G.L.Nesom","60199","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:981726-1","","Asteraceae",1,"1","wcvp","","54",true,true
"55","Prunus serotina Ehrh. var. serotina","1","1004172","Prunus serotina var. serotina","1","variety","","","","","Rosaceae","Prunus","Prunus","1","serotina","serotina","1","","","","var.","serotina","1","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77231053-1","","Y","Accepted","Prunus serotina var. serotina","Prunus serotina","","1004172","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77231053-1","","Rosaceae",1,"1","wcvp","","55",true,true
"56","Brachyelytrum aristosum (Michx.) Trel.","0.91846","846051","Brachyelytrum aristosum","1","species","(Michx.) Trel.","(Michx.) Trel., Branner & Coville","0.5923","(Michx.) Trel., Branner & Coville","Poaceae","Brachyelytrum","Brachyelytrum","1","aristosum","aristosum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:35906-2","","Y","Accepted","Brachyelytrum aristosum","Brachyelytrum aristosum","(Michx.) Trel., Branner & Coville","846051","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:35906-2","","Poaceae",1,"1","wcvp","","56",true,true
"57","Acer saccharum Marshall var. saccharum","0.96021221090168","1064858","Acer saccharum subsp. saccharum","0.96021221090168","subspecies","","","","","Sapindaceae","Acer","Acer","1","saccharum","saccharum","1","","","","subsp.","saccharum","0.7","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77227117-1","","Y","Accepted","Acer saccharum subsp. saccharum","Acer saccharum","","1064858","subspecies","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77227117-1","","Sapindaceae",1,"1","wcvp","","57",true,true
"58","Betula alleghaniensis Britton","1","325834","Betula alleghaniensis","1","species","Britton","Britton","1","Britton","Betulaceae","Betula","Betula","1","alleghaniensis","alleghaniensis","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:32106-2","","Y","Accepted","Betula alleghaniensis","Betula alleghaniensis","Britton","325834","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:32106-2","","Betulaceae",1,"1","wcvp","","58",true,true
"59","Anemone quinquefolia L. var. quinquefolia","0.59957384396743","529184","Anemone quinquefolia","0.59957384396743","species","","","","L.","Ranunculaceae","Anemone","Anemone","1","quinquefolia","quinquefolia","1","","","","","","","","","","","var. quinquefolia","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:13497-2","","Y","Synonym","Anemonoides quinquefolia","Anemonoides quinquefolia","(L.) Holub","529473","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:13540-2","","Ranunculaceae",1,"1","wcvp","[Partial]","59",true,true
"60","Aralia nudicaulis L.","1","253544","Aralia nudicaulis","1","species","L.","L.","1","L.","Araliaceae","Aralia","Aralia","1","nudicaulis","nudicaulis","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:89729-1","","Y","Accepted","Aralia nudicaulis","Aralia nudicaulis","L.","253544","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:89729-1","","Araliaceae",1,"1","wcvp","","60",true,true
"61","Osmunda claytoniana L.","1","1094528","Osmunda claytoniana","1","species","L.","L.","1","L.","Osmundaceae","Osmunda","Osmunda","1","claytoniana","claytoniana","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:281799-2","","Y","Accepted","Osmunda claytoniana","Osmunda claytoniana","L.","1094528","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:281799-2","","Osmundaceae",1,"1","wcvp","","61",true,true
"62","Viburnum nudum L. var. cassinoides (L.) Torr. & A. Gray","1","1345511","Viburnum nudum var. cassinoides","1","variety","(L.) Torr. & A. Gray","(L.) Torr. & A.Gray","1","(L.) Torr. & A.Gray","Viburnaceae","Viburnum","Viburnum","1","nudum","nudum","1","","","","var.","cassinoides","1","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:264930-2","","Y","Synonym","Viburnum cassinoides","Viburnum cassinoides","L.","1273301","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:264854-2","","Viburnaceae",1,"1","wcvp","","62",true,true
"63","Betula sp.","0.9","1395441","Betula","1","genus","","","","L.","Betulaceae","Betula","Betula","1","","","","","","","","","","","","","","sp.","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:328387-2","","Y","Accepted","Betula","","L.","1395441","genus","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:328387-2","","Betulaceae",1,"1","wcvp","","63",true,true
"64","Thelypteris palustris Schott var. pubescens (G. Lawson) Fernald","1","1616994","Thelypteris palustris var. pubescens","1","variety","(G. Lawson) Fernald","(G.Lawson) Fernald","1","(G.Lawson) Fernald","Aspleniaceae","Thelypteris","Thelypteris","1","palustris","palustris","1","","","","var.","pubescens","1","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:252232-2","","Y","Synonym","Thelypteris palustris subsp. pubescens","Thelypteris palustris","(G.Lawson) Fraser-Jenk.","1326444","subspecies","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17570400-1","","Aspleniaceae",1,"1","wcvp","","64",true,true
"65","Clematis virginiana L.","1","603915","Clematis virginiana","1","species","L.","L.","1","L.","Ranunculaceae","Clematis","Clematis","1","virginiana","virginiana","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:710188-1","","Y","Accepted","Clematis virginiana","Clematis virginiana","L.","603915","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:710188-1","","Ranunculaceae",1,"1","wcvp","","65",true,true
"66","Polystichum acrostichoides (Michx.) Schott var. acrostichoides","1","1699688","Polystichum acrostichoides var. acrostichoides","1","variety","","","","","Polypodiaceae","Polystichum","Polystichum","1","acrostichoides","acrostichoides","1","","","","var.","acrostichoides","1","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77233224-1","","Y","Accepted","Polystichum acrostichoides var. acrostichoides","Polystichum acrostichoides","","1699688","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77233224-1","","Polypodiaceae",1,"1","wcvp","","66",true,true
"67","Dryopteris carthusiana (Vill.) H.P. Fuchs","1","1092767","Dryopteris carthusiana","1","species","(Vill.) H.P. Fuchs","(Vill.) H.P.Fuchs","1","(Vill.) H.P.Fuchs","Polypodiaceae","Dryopteris","Dryopteris","1","carthusiana","carthusiana","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17390210-1","","Y","Accepted","Dryopteris carthusiana","Dryopteris carthusiana","(Vill.) H.P.Fuchs","1092767","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17390210-1","","Polypodiaceae",1,"1","wcvp","","67",true,true
"68","Galium triflorum Michx.","1","961836","Galium triflorum","1","species","Michx.","Michx.","1","Michx.","Rubiaceae","Galium","Galium","1","triflorum","triflorum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:750771-1","","Y","Accepted","Galium triflorum","Galium triflorum","Michx.","961836","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:750771-1","","Rubiaceae",1,"1","wcvp","","68",true,true
"69","Carex blanda Dewey","1","339856","Carex blanda","1","species","Dewey","Dewey","1","Dewey","Cyperaceae","Carex","Carex","1","blanda","blanda","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298848-1","","Y","Accepted","Carex blanda","Carex blanda","Dewey","339856","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298848-1","","Cyperaceae",1,"1","wcvp","","69",true,true
"70","Coptis trifolia (L.) Salisb.","1","1618050","Coptis trifolia","1","species","(L.) Salisb.","(L.) Salisb.","1","(L.) Salisb.","Ranunculaceae","Coptis","Coptis","1","trifolia","trifolia","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:710328-1","","Y","Accepted","Coptis trifolia","Coptis trifolia","(L.) Salisb.","1618050","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:710328-1","","Ranunculaceae",1,"1","wcvp","","70",true,true
"71","Nyssa sylvatica Marshall","1","247731","Nyssa sylvatica","1","species","Marshall","Marshall","1","Marshall","Nyssaceae","Nyssa","Nyssa","1","sylvatica","sylvatica","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:271953-1","","Y","Accepted","Nyssa sylvatica","Nyssa sylvatica","Marshall","247731","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:271953-1","","Nyssaceae",1,"1","wcvp","","71",true,true
"72","Tiarella cordifolia L.","1","453245","Tiarella cordifolia","1","species","L.","L.","1","L.","Saxifragaceae","Tiarella","Tiarella","1","cordifolia","cordifolia","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30175905-2","","Y","Accepted","Tiarella cordifolia","Tiarella cordifolia","L.","453245","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30175905-2","","Saxifragaceae",1,"1","wcvp","","72",true,true
"73","Viola sp.","0.9","1419672","Viola","1","genus","","","","L.","Violaceae","Viola","Viola","1","","","","","","","","","","","","","","sp.","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30000540-2","","Y","Accepted","Viola","","L.","1419672","genus","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30000540-2","","Violaceae",1,"1","wcvp","","73",true,true
"74","Carex leptalea Wahlenb.","1","343183","Carex leptalea","1","species","Wahlenb.","Wahlenb.","1","Wahlenb.","Cyperaceae","Carex","Carex","1","leptalea","leptalea","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:300629-1","","Y","Accepted","Carex leptalea","Carex leptalea","Wahlenb.","343183","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:300629-1","","Cyperaceae",1,"1","wcvp","","74",true,true
"75","Fagus grandifolia Ehrh.","1","957813","Fagus grandifolia","1","species","Ehrh.","Ehrh.","1","Ehrh.","Fagaceae","Fagus","Fagus","1","grandifolia","grandifolia","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:295597-1","","Y","Accepted","Fagus grandifolia","Fagus grandifolia","Ehrh.","957813","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:295597-1","","Fagaceae",1,"1","wcvp","","75",true,true
"76","Poa palustris L.","1","884913","Poa palustris","1","species","L.","L.","1","L.","Poaceae","Poa","Poa","1","palustris","palustris","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:204398-2","","Y","Accepted","Poa palustris","Poa palustris","L.","884913","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:204398-2","","Poaceae",1,"1","wcvp","","76",true,true
"77","Carex lacustris Willd.","1","342925","Carex lacustris","1","species","Willd.","Willd.","1","Willd.","Cyperaceae","Carex","Carex","1","lacustris","lacustris","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:46439-2","","Y","Accepted","Carex lacustris","Carex lacustris","Willd.","342925","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:46439-2","","Cyperaceae",1,"1","wcvp","","77",true,true
"78","Vaccinium corymbosum L.","1","417170","Vaccinium corymbosum","1","species","L.","L.","1","L.","Ericaceae","Vaccinium","Vaccinium","1","corymbosum","corymbosum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:261823-2","","Y","Accepted","Vaccinium corymbosum","Vaccinium corymbosum","L.","417170","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:261823-2","","Ericaceae",1,"1","wcvp","","78",true,true
"79","Galium tinctorium (L.) Scop.","1","1630753","Galium tinctorium","1","species","(L.) Scop.","(L.) Scop.","1","(L.) Scop.","Rubiaceae","Galium","Galium","1","tinctorium","tinctorium","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:750742-1","","Y","Illegitimate","Asperula tinctoria","Asperula tinctoria","L.","284563","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:744208-1","","Rubiaceae",1,"1","wcvp","","79",true,true
"80","Spiraea alba Du Roi var. latifolia (Aiton) Dippel","1","1663755","Spiraea alba var. latifolia","1","variety","(Aiton) Dippel","(Aiton) Dippel","1","(Aiton) Dippel","Rosaceae","Spiraea","Spiraea","1","alba","alba","1","","","","var.","latifolia","1","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77111154-1","","Y","Accepted","Spiraea alba var. latifolia","Spiraea alba","(Aiton) Dippel","1663755","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77111154-1","","Rosaceae",1,"1","wcvp","","80",true,true
"81","Toxicodendron vernix (L.) Kuntze","1","1635587","Toxicodendron vernix","1","species","(L.) Kuntze","(L.) Kuntze","1","(L.) Kuntze","Anacardiaceae","Toxicodendron","Toxicodendron","1","vernix","vernix","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:255798-2","","Y","Accepted","Toxicodendron vernix","Toxicodendron vernix","(L.) Kuntze","1635587","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:255798-2","","Anacardiaceae",1,"1","wcvp","","81",true,true
"82","Rhamnus cathartica L.","1","454245","Rhamnus cathartica","1","species","L.","L.","1","L.","Rhamnaceae","Rhamnus","Rhamnus","1","cathartica","cathartica","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:718256-1","","Y","Accepted","Rhamnus cathartica","Rhamnus cathartica","L.","454245","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:718256-1","","Rhamnaceae",1,"1","wcvp","","82",true,true
"83","Phragmites australis (Cav.) Trin. ex Steud. ssp. australis","1","1082814","Phragmites australis subsp. australis","1","subspecies","","","","","Poaceae","Phragmites","Phragmites","1","australis","australis","1","","","","subsp.","australis","1","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77172833-1","","Y","Accepted","Phragmites australis subsp. australis","Phragmites australis","","1082814","subspecies","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77172833-1","","Poaceae",1,"1","wcvp","","83",true,true
"84","Carex atlantica L.H. Bailey","1","339566","Carex atlantica","1","species","L.H. Bailey","L.H.Bailey","1","L.H.Bailey","Cyperaceae","Carex","Carex","1","atlantica","atlantica","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:45794-2","","Y","Accepted","Carex atlantica","Carex atlantica","L.H.Bailey","339566","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:45794-2","","Cyperaceae",1,"1","wcvp","","84",true,true
"85","Frangula alnus Mill.","1","684339","Frangula alnus","1","species","Mill.","Mill.","1","Mill.","Rhamnaceae","Frangula","Frangula","1","alnus","alnus","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:717344-1","","Y","Accepted","Frangula alnus","Frangula alnus","Mill.","684339","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:717344-1","","Rhamnaceae",1,"1","wcvp","","85",true,true
"86","Lysimachia terrestris (L.) Britton  Sterns & Poggenb.","0.99008","1576448","Lysimachia terrestris","1","species","(L.) Britton Sterns & Poggenb.","(L.) Britton, Sterns & Poggenb.","0.9504","(L.) Britton, Sterns & Poggenb.","Primulaceae","Lysimachia","Lysimachia","1","terrestris","terrestris","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:148158-2","","Y","Accepted","Lysimachia terrestris","Lysimachia terrestris","(L.) Britton, Sterns & Poggenb.","1576448","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:148158-2","","Primulaceae",1,"1","wcvp","","86",true,true
"87","Spiraea alba Du Roi","1","976751","Spiraea alba","1","species","Du Roi","Du Roi","1","Du Roi","Rosaceae","Spiraea","Spiraea","1","alba","alba","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30043519-2","","Y","Accepted","Spiraea alba","Spiraea alba","Du Roi","976751","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30043519-2","","Rosaceae",1,"1","wcvp","","87",true,true
"88","Carya glabra (Mill.) Sweet","1","581864","Carya glabra","1","species","(Mill.) Sweet","(Mill.) Sweet","1","(Mill.) Sweet","Juglandaceae","Carya","Carya","1","glabra","glabra","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30055752-2","","Y","Accepted","Carya glabra","Carya glabra","(Mill.) Sweet","581864","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30055752-2","","Juglandaceae",1,"1","wcvp","","88",true,true
"89","Uvularia sessilifolia L.","1","743394","Uvularia sessilifolia","1","species","L.","L.","1","L.","Colchicaceae","Uvularia","Uvularia","1","sessilifolia","sessilifolia","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:543416-1","","Y","Accepted","Uvularia sessilifolia","Uvularia sessilifolia","L.","743394","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:543416-1","","Colchicaceae",1,"1","wcvp","","89",true,true
"90","Carex spp.","0.9","1396841","Carex","1","genus","","","","L.","Cyperaceae","Carex","Carex","1","","","","","","","","","","","","","","spp.","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:330029-2","","Y","Accepted","Carex","","L.","1396841","genus","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:330029-2","","Cyperaceae",1,"1","wcvp","","90",true,true
"91","Acer pensylvanicum L.","1","508435","Acer pensylvanicum","1","species","L.","L.","1","L.","Sapindaceae","Acer","Acer","1","pensylvanicum","pensylvanicum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781446-1","","Y","Accepted","Acer pensylvanicum","Acer pensylvanicum","L.","508435","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781446-1","","Sapindaceae",1,"1","wcvp","","91",true,true
"92","Corylus cornuta Marshall var. cornuta","0.96021221090168","916892","Corylus cornuta subsp. cornuta","0.96021221090168","subspecies","","","","","Betulaceae","Corylus","Corylus","1","cornuta","cornuta","1","","","","subsp.","cornuta","0.7","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77168005-1","","Y","Accepted","Corylus cornuta subsp. cornuta","Corylus cornuta","","916892","subspecies","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77168005-1","","Betulaceae",1,"1","wcvp","","92",true,true
"93","Viburnum acerifolium L.","1","1273298","Viburnum acerifolium","1","species","L.","L.","1","L.","Viburnaceae","Viburnum","Viburnum","1","acerifolium","acerifolium","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:326263-2","","Y","Accepted","Viburnum acerifolium","Viburnum acerifolium","L.","1273298","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:326263-2","","Viburnaceae",1,"1","wcvp","","93",true,true
"94","Carpinus caroliniana Walter ssp. virginiana (Marshall) Furlow","1","796587","Carpinus caroliniana subsp. virginiana","1","subspecies","(Marshall) Furlow","(Marshall) Furlow","1","(Marshall) Furlow","Betulaceae","Carpinus","Carpinus","1","caroliniana","caroliniana","1","","","","subsp.","virginiana","1","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:274152-2","","Y","Accepted","Carpinus caroliniana subsp. virginiana","Carpinus caroliniana","(Marshall) Furlow","796587","subspecies","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:274152-2","","Betulaceae",1,"1","wcvp","","94",true,true
"95","Carya ovata (Mill.) K. Koch","1","581926","Carya ovata","1","species","(Mill.) K. Koch","(Mill.) K.Koch","1","(Mill.) K.Koch","Juglandaceae","Carya","Carya","1","ovata","ovata","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30122806-2","","Y","Accepted","Carya ovata","Carya ovata","(Mill.) K.Koch","581926","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30122806-2","","Juglandaceae",1,"1","wcvp","","95",true,true
"96","Dryopteris intermedia (Muhl. ex Willd.) A. Gray","0.89238","1092774","Dryopteris intermedia","1","species","(Muhl. ex Willd.) A. Gray","A.Gray","0.4619","A.Gray","Polypodiaceae","Dryopteris","Dryopteris","1","intermedia","intermedia","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17096230-1","","Y","Accepted","Dryopteris intermedia","Dryopteris intermedia","A.Gray","1092774","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17096230-1","","Polypodiaceae",1,"1","wcvp","","96",true,true
"97","Monotropa uniflora L.","1","371073","Monotropa uniflora","1","species","L.","L.","1","L.","Ericaceae","Monotropa","Monotropa","1","uniflora","uniflora","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:281016-2","","Y","Accepted","Monotropa uniflora","Monotropa uniflora","L.","371073","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:281016-2","","Ericaceae",1,"1","wcvp","","97",true,true
