Species	Longitude	Latitude
Quercus_virginiana	-82.29854578	29.60810155
Quercus_virginiana	-82.29854578	29.60810155
Quercus_virginiana	-82.29854578	29.60810155
Quercus_virginiana	-82.45534208	29.74799656
Quercus_virginiana	-82.45534208	29.74799656
Quercus_virginiana	-82.45534208	29.74799656
Quercus_virginiana	-82.45534208	29.74799656
Quercus_virginiana	-82.45534208	29.74799656
Quercus_virginiana	-82.45534208	29.74799656
Quercus_virginiana	-82.45534208	29.74799656
Quercus_virginiana	-82.45534208	29.74799656
Quercus_virginiana	-81.19163779	29.6158512
Quercus_virginiana	-81.19163779	29.6158512
Quercus_virginiana	-81.19163779	29.6158512
Quercus_virginiana	-81.19163779	29.6158512
Quercus_virginiana	-81.19163779	29.6158512
Quercus_virginiana	-81.19163779	29.6158512
Quercus_virginiana	-81.19163779	29.6158512
Quercus_virginiana	-81.19163779	29.6158512
Quercus_virginiana	-81.19163779	29.6158512
Quercus_virginiana	-80.24401766	25.72624994
Quercus_virginiana	-80.24401766	25.72624994
Quercus_virginiana	-80.04390764	26.82717133
Quercus_virginiana	-80.04390764	26.82717133
Quercus_virginiana	-80.04390764	26.82717133
Quercus_virginiana	-80.04390764	26.82717133
Quercus_virginiana	-80.04390764	26.82717133
Quercus_virginiana	-80.04390764	26.82717133
Quercus_virginiana	-80.04390764	26.82717133
Quercus_virginiana	-80.04390764	26.82717133
Quercus_virginiana	-80.27373809	27.31107534
Quercus_virginiana	-80.27373809	27.31107534
Quercus_virginiana	-80.10465591	26.14213729
Quercus_virginiana	-80.10465591	26.14213729
Quercus_virginiana	-80.10465591	26.14213729
Quercus_virginiana	-80.10465591	26.14213729
Quercus_virginiana	-80.10465591	26.14213729
Quercus_virginiana	-80.10465591	26.14213729
Quercus_virginiana	-80.10465591	26.14213729
Quercus_virginiana	-80.10465591	26.14213729
Quercus_virginiana	-80.10465591	26.14213729
Quercus_virginiana	-80.29833717	25.28634771
Quercus_virginiana	-80.29831085	25.28633229
Quercus_virginiana	-89.00388867	30.67472233
