Plot,SR,Comp,PSV,FDis,NBE,CE,SE,d_Y
77,2,B28,0.33368305,2.15217272,0.07761852,0.04987854,0.02773998,0.0370318
111,2,B28,0.33368305,2.15217272,0.01877007,0.01438873,0.00438135,0.01037495
24,2,B3,0.33368305,1.94826746,0.0008947,0.0008947,1.11E-19,1.04E-03
69,2,B3,0.33368305,1.94826746,0.00058738,0.00701036,-0.006423,0.00081689
131,2,B3,0.33368305,1.94826746,0.00574582,0.01431499,-0.0085692,0.00214017
32,2,B4,1,3.1574527,0.0073032,0.00230572,0.00499748,0.00609225
64,2,B4,1,3.1574527,0.01421824,0.0105268,0.00369145,0.00811702
125,2,B4,1,3.1574527,0.00585563,0.00202756,0.00382807,0.00448694
25,2,B5,1,3.09007544,0.11079514,0.06771954,0.0430756,0.13726379
97,2,B5,1,3.09007544,0.10755193,0.27257753,-0.1650256,0.15099009
120,2,B5,1,3.09007544,0.1287258,0.18718039,-0.0584546,0.12799808
23,2,B6,0.28535983,2.44587623,0.00410798,0.02884842,-0.0247404,0.0020598
83,2,B6,0.28535983,2.44587623,0.0789131,0.17312982,-0.0942167,0.05762797
121,2,B6,0.28535983,2.44587623,0.02259332,0.0219024,0.00069092,0.00904667
38,2,B7,1,2.15134518,0.21613095,0.51095507,-0.2948241,0.17097534
63,2,B7,1,2.15134518,0.10763247,0.04944002,0.05819245,0.13560769
117,2,B7,1,2.15134518,0.11058996,0.10163243,0.00895754,0.1320876
21,2,B8,0.17688604,1.3815968,0.00556954,0.0610962,-0.0555267,0.01141503
75,2,B8,0.17688604,1.3815968,0.00298316,0.01770601,-0.0147229,0.00541529
116,2,B8,0.17688604,1.3815968,0.00449181,0.0331892,-0.0286974,0.00751805
9,2,B9,0.17688604,1.57756929,0.03562969,0.19503799,-0.1594083,0.02327476
55,2,B9,0.17688604,1.57756929,0.01936944,0.01033453,0.00903492,0.01256871
100,2,B9,0.17688604,1.57756929,0.01130863,0.00261988,0.00868875,0.00939631
34,2,B15,0.40835319,0.66202578,0.16744285,0.15970308,0.00773977,0.12735981
31,2,B19,1,2.06894249,0.02798375,-0.1084502,0.13643396,0.01294824
114,5,F10,0.54229576,2.56191922,0.07955033,0.09835509,-0.0188048,0.0185735
109,5,F2,0.26923325,2.22528835,0.00780309,0.19850671,-0.1907036,0.0007557
2,5,F3,0.73610791,3.13834182,0.42084384,0.30620846,0.11463538,0.12591318
145,5,F4,0.73610791,3.13834182,0.4754171,0.46081977,0.01459733,0.14687299
60,5,F5,0.71892799,2.59542958,0.28442959,0.48859808,-0.2041685,0.0658449
58,5,F6,0.7167507,2.57619569,0.1245984,0.18588649,-0.0612881,0.02376084
30,5,F7,0.52963069,2.0339014,0.17231183,0.50532158,-0.3330098,0.04611349
53,5,F8,0.72245444,2.49446552,0.17858165,0.30698681,-0.1284052,0.06384478
1,5,F9,0.76060453,2.59779423,0.63427362,0.88266187,-0.2483882,0.12777088
18,5,F1,0.57969781,2.63752798,0.02795942,-0.6546676,0.682627,0.01467027
50,12,T,0.64298426,2.7543498,0.44197706,-0.464188,0.90616509,0.0781987
65,12,T,0.64298426,2.7543498,0.35977759,0.72228538,-0.3625078,0.03543056
107,12,T,0.64298426,2.7543498,0.5142352,0.44422271,0.07001249,0.04976518
99,12,T,0.64298426,2.7543498,0.38800975,-0.0920823,0.48009205,0.03507168
41,12,T,0.64298426,2.7543498,0.34232279,0.3419359,0.00038689,0.05336821
128,12,T,0.64298426,2.7543498,0.78000234,-0.3282368,1.10823919,0.05386158
14,12,T,0.64298426,2.7543498,0.58207167,0.02209051,0.55998116,0.04394406
17,12,T,0.64298426,2.7543498,0.3046284,0.17770737,0.12692104,0.04322842
79,12,T,0.64298426,2.7543498,0.56029664,0.36712491,0.19317173,0.0555336
140,12,T,0.64298426,2.7543498,0.46622085,0.79903802,-0.3328172,0.05335477
