"","species","lon","lat"
"103","Anodorhynchus hyacinthinus",-56.473439,-21.100436
"104","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"105","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"106","Anodorhynchus hyacinthinus",-50.313256,-6.449686
"107","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"108","Anodorhynchus hyacinthinus",-57.759427,-16.089752
"109","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"110","Anodorhynchus hyacinthinus",-49.360833,-6.604621
"111","Anodorhynchus hyacinthinus",-59.010959,-16.711918
"112","Anodorhynchus hyacinthinus",-55.86588,-20.387599
"113","Anodorhynchus hyacinthinus",-55.964846,-20.09562
"114","Anodorhynchus hyacinthinus",-49.360833,-6.604621
"115","Anodorhynchus hyacinthinus",-56.377802,-16.513124
"116","Anodorhynchus hyacinthinus",-49.360833,-6.604621
"117","Anodorhynchus hyacinthinus",-56.103627,-9.401106
"118","Anodorhynchus hyacinthinus",-49.360833,-6.604621
"119","Anodorhynchus hyacinthinus",-56.234763,-19.956586
"120","Anodorhynchus hyacinthinus",-56.673505,-16.410007
"121","Anodorhynchus hyacinthinus",-56.69135,-16.456923
"122","Anodorhynchus hyacinthinus",-54.926043,-20.227099
"123","Anodorhynchus hyacinthinus",-49.676167,-5.844894
"124","Anodorhynchus hyacinthinus",-57.038612,-19.555665
"125","Anodorhynchus hyacinthinus",-55.964846,-20.09562
"126","Anodorhynchus hyacinthinus",-56.393829,-20.231744
"127","Anodorhynchus hyacinthinus",-56.877233,-16.758115
"128","Anodorhynchus hyacinthinus",-56.352194,-16.950134
"129","Anodorhynchus hyacinthinus",-56.150866,-19.577218
"130","Anodorhynchus hyacinthinus",-55.964846,-20.09562
"131","Anodorhynchus hyacinthinus",-56.697518,-20.621071
"132","Anodorhynchus hyacinthinus",-56.259139,-19.881493
"133","Anodorhynchus hyacinthinus",-55.846038,-20.308972
"134","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"135","Anodorhynchus hyacinthinus",-56.756365,-16.433677
"136","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"137","Anodorhynchus hyacinthinus",-56.657291,-17.387704
"138","Anodorhynchus hyacinthinus",-56.393829,-20.231744
"139","Anodorhynchus hyacinthinus",-56.482859,-21.126458
"140","Anodorhynchus hyacinthinus",-56.877233,-16.758115
"141","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"142","Anodorhynchus hyacinthinus",-57.797064,-16.489539
"143","Anodorhynchus hyacinthinus",-57.038612,-19.555665
"144","Anodorhynchus hyacinthinus",-55.846038,-20.308972
"145","Anodorhynchus hyacinthinus",-56.713011,-20.535826
"146","Anodorhynchus hyacinthinus",-55.659919,-20.437208
"147","Anodorhynchus hyacinthinus",-49.360833,-6.604621
"148","Anodorhynchus hyacinthinus",-57.038612,-19.555665
"149","Anodorhynchus hyacinthinus",-45.371834,-10.101059
"150","Anodorhynchus hyacinthinus",-49.360833,-6.604621
"151","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"152","Anodorhynchus hyacinthinus",-56.304408,-19.952643
"153","Anodorhynchus hyacinthinus",-56.745334,-16.503078
"154","Anodorhynchus hyacinthinus",-56.769877,-17.3387
"155","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"156","Anodorhynchus hyacinthinus",-56.698809,-17.282628
"157","Anodorhynchus hyacinthinus",-57.558905,-25.287667
"158","Anodorhynchus hyacinthinus",-55.965769,-20.113123
"159","Anodorhynchus hyacinthinus",-56.745334,-16.503078
"160","Anodorhynchus hyacinthinus",-56.823242,-17.4582
"161","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"162","Anodorhynchus hyacinthinus",-56.823242,-17.4582
"163","Anodorhynchus hyacinthinus",-55.966252,-20.118534
"164","Anodorhynchus hyacinthinus",-56.69135,-16.456923
"165","Anodorhynchus hyacinthinus",-56.877233,-16.758115
"166","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"167","Anodorhynchus hyacinthinus",-55.963439,-20.122429
"168","Anodorhynchus hyacinthinus",-56.698809,-17.282628
"169","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"170","Anodorhynchus hyacinthinus",-56.69135,-16.456923
"171","Anodorhynchus hyacinthinus",-49.858089,-6.536633
"172","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"173","Anodorhynchus hyacinthinus",-56.732342,-20.726991
"174","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"175","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"176","Anodorhynchus hyacinthinus",-55.932862,-20.19314
"177","Anodorhynchus hyacinthinus",-56.768507,-17.354567
"178","Anodorhynchus hyacinthinus",-56.69135,-16.456923
"179","Anodorhynchus hyacinthinus",-56.745334,-16.503078
"180","Anodorhynchus hyacinthinus",-56.698809,-17.282628
"181","Anodorhynchus hyacinthinus",-56.69586,-17.242772
"182","Anodorhynchus hyacinthinus",-56.90977,-16.958327
"183","Anodorhynchus hyacinthinus",-55.846038,-20.308972
"184","Anodorhynchus hyacinthinus",-56.945711,-17.123689
"185","Anodorhynchus hyacinthinus",-56.844017,-16.784207
"186","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"187","Anodorhynchus hyacinthinus",-56.698809,-17.282628
"188","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"189","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"190","Anodorhynchus hyacinthinus",-56.929161,-17.11743
"191","Anodorhynchus hyacinthinus",-56.745334,-16.503078
"192","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"193","Anodorhynchus hyacinthinus",-56.698809,-17.282628
"194","Anodorhynchus hyacinthinus",-56.734699,-16.619621
"195","Anodorhynchus hyacinthinus",-56.734699,-16.619621
"196","Anodorhynchus hyacinthinus",-56.698809,-17.282628
"197","Anodorhynchus hyacinthinus",-56.594948,-17.331064
"198","Anodorhynchus hyacinthinus",-56.823242,-17.4582
"199","Anodorhynchus hyacinthinus",-56.693288,-17.32172
"200","Anodorhynchus hyacinthinus",-56.745334,-16.503078
"201","Anodorhynchus hyacinthinus",-56.863039,-16.750173
"202","Anodorhynchus hyacinthinus",-56.745334,-16.503078
"203","Anodorhynchus hyacinthinus",-55.963439,-20.122429
"204","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"205","Anodorhynchus hyacinthinus",-56.69135,-16.456923
"206","Anodorhynchus hyacinthinus",-56.844017,-16.784207
"207","Anodorhynchus hyacinthinus",-56.745334,-16.503078
"208","Anodorhynchus hyacinthinus",-55.966252,-20.118534
"209","Anodorhynchus hyacinthinus",-56.945711,-17.123689
"210","Anodorhynchus hyacinthinus",-56.698809,-17.282628
"211","Anodorhynchus hyacinthinus",-56.304408,-19.952643
"212","Anodorhynchus hyacinthinus",-56.69135,-16.456923
"213","Anodorhynchus hyacinthinus",-56.698809,-17.282628
"214","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"215","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"216","Anodorhynchus hyacinthinus",-56.698809,-17.282628
"217","Anodorhynchus hyacinthinus",-56.304618,-19.956119
"218","Anodorhynchus hyacinthinus",-56.304618,-19.956119
"219","Anodorhynchus hyacinthinus",-56.732342,-20.726991
"220","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"221","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"222","Anodorhynchus hyacinthinus",-56.698809,-17.282628
"223","Anodorhynchus hyacinthinus",-56.393829,-20.231744
"224","Anodorhynchus hyacinthinus",-56.943281,-17.121506
"225","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"226","Anodorhynchus hyacinthinus",-56.698809,-17.282628
"227","Anodorhynchus hyacinthinus",-56.69135,-16.456923
"228","Anodorhynchus hyacinthinus",-56.304408,-19.952643
"229","Anodorhynchus hyacinthinus",-56.823242,-17.4582
"230","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"231","Anodorhynchus hyacinthinus",-56.698809,-17.282628
"232","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"233","Anodorhynchus hyacinthinus",-56.711769,-16.51224
"234","Anodorhynchus hyacinthinus",-56.768507,-17.354567
"235","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"236","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"237","Anodorhynchus hyacinthinus",-56.877233,-16.758115
"238","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"239","Anodorhynchus hyacinthinus",-56.698809,-17.282628
"240","Anodorhynchus hyacinthinus",-56.250964,-19.92771
"241","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"242","Anodorhynchus hyacinthinus",-56.745334,-16.503078
"243","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"244","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"245","Anodorhynchus hyacinthinus",-56.745334,-16.503078
"246","Anodorhynchus hyacinthinus",-56.69135,-16.456923
"247","Anodorhynchus hyacinthinus",-56.844017,-16.784207
"248","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"249","Anodorhynchus hyacinthinus",-56.877233,-16.758115
"250","Anodorhynchus hyacinthinus",-56.745334,-16.503078
"251","Anodorhynchus hyacinthinus",-56.823242,-17.4582
"252","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"253","Anodorhynchus hyacinthinus",-56.745334,-16.503078
"254","Anodorhynchus hyacinthinus",-56.823242,-17.4582
"255","Anodorhynchus hyacinthinus",-56.823242,-17.4582
"256","Anodorhynchus hyacinthinus",-56.945711,-17.123689
"257","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"258","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"259","Anodorhynchus hyacinthinus",-56.877233,-16.758115
"260","Anodorhynchus hyacinthinus",-55.932862,-20.19314
"261","Anodorhynchus hyacinthinus",-56.745334,-16.503078
"262","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"263","Anodorhynchus hyacinthinus",-56.945711,-17.123689
"264","Anodorhynchus hyacinthinus",-56.69135,-16.456923
"265","Anodorhynchus hyacinthinus",-56.698809,-17.282628
"266","Anodorhynchus hyacinthinus",-56.711769,-16.51224
"267","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"268","Anodorhynchus hyacinthinus",-56.877233,-16.758115
"269","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"270","Anodorhynchus hyacinthinus",-56.69135,-16.456923
"271","Anodorhynchus hyacinthinus",-56.698809,-17.282628
"272","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"273","Anodorhynchus hyacinthinus",-56.698809,-17.282628
"274","Anodorhynchus hyacinthinus",-55.965769,-20.113123
"275","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"276","Anodorhynchus hyacinthinus",-56.745334,-16.503078
"277","Anodorhynchus hyacinthinus",-56.768195,-17.354882
"278","Anodorhynchus hyacinthinus",-55.963439,-20.122429
"279","Anodorhynchus hyacinthinus",-56.877233,-16.758115
"280","Anodorhynchus hyacinthinus",-55.965769,-20.113123
"281","Anodorhynchus hyacinthinus",-55.932862,-20.19314
"282","Anodorhynchus hyacinthinus",-55.965769,-20.113123
"283","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"284","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"285","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"286","Anodorhynchus hyacinthinus",-56.387368,-21.095107
"287","Anodorhynchus hyacinthinus",-56.945711,-17.123689
"288","Anodorhynchus hyacinthinus",-56.734699,-16.619621
"289","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"290","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"291","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"292","Anodorhynchus hyacinthinus",-56.823242,-17.4582
"293","Anodorhynchus hyacinthinus",-56.243705,-19.958802
"294","Anodorhynchus hyacinthinus",-56.315957,-19.964725
"295","Anodorhynchus hyacinthinus",-49.360942,-6.604597
"296","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"297","Anodorhynchus hyacinthinus",-56.90977,-16.958327
"298","Anodorhynchus hyacinthinus",-55.966252,-20.118534
"299","Anodorhynchus hyacinthinus",-56.745334,-16.503078
"300","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"301","Anodorhynchus hyacinthinus",-56.745334,-16.503078
"302","Anodorhynchus hyacinthinus",-56.387368,-21.095107
"303","Anodorhynchus hyacinthinus",-56.304408,-19.952643
"304","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"305","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"306","Anodorhynchus hyacinthinus",-55.963439,-20.122429
"307","Anodorhynchus hyacinthinus",-56.594948,-17.331064
"308","Anodorhynchus hyacinthinus",-56.877233,-16.758115
"309","Anodorhynchus hyacinthinus",-56.711769,-16.51224
"310","Anodorhynchus hyacinthinus",-55.932862,-20.19314
"311","Anodorhynchus hyacinthinus",-56.716554,-17.306133
"312","Anodorhynchus hyacinthinus",-56.929161,-17.11743
"313","Anodorhynchus hyacinthinus",-56.768507,-17.354567
"314","Anodorhynchus hyacinthinus",-56.877233,-16.758115
"315","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"316","Anodorhynchus hyacinthinus",-56.69135,-16.456923
"317","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"318","Anodorhynchus hyacinthinus",-56.673505,-16.410007
"319","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"320","Anodorhynchus hyacinthinus",-56.768507,-17.354567
"321","Anodorhynchus hyacinthinus",-56.698809,-17.282628
"322","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"323","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"324","Anodorhynchus hyacinthinus",-56.943046,-17.102716
"325","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"326","Anodorhynchus hyacinthinus",-55.846038,-20.308972
"327","Anodorhynchus hyacinthinus",-56.877233,-16.758115
"328","Anodorhynchus hyacinthinus",-56.698809,-17.282628
"329","Anodorhynchus hyacinthinus",-56.315957,-19.964725
"330","Anodorhynchus hyacinthinus",-56.636459,-16.308818
"331","Anodorhynchus hyacinthinus",-55.846038,-20.308972
"332","Anodorhynchus hyacinthinus",-56.594948,-17.331064
"333","Anodorhynchus hyacinthinus",-56.698809,-17.282628
"334","Anodorhynchus hyacinthinus",-56.69135,-16.456923
"335","Anodorhynchus hyacinthinus",-56.877233,-16.758115
"336","Anodorhynchus hyacinthinus",-56.668586,-16.404055
"337","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"338","Anodorhynchus hyacinthinus",-56.69135,-16.456923
"339","Anodorhynchus hyacinthinus",-56.69135,-16.456923
"340","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"341","Anodorhynchus hyacinthinus",-56.943046,-17.102716
"342","Anodorhynchus hyacinthinus",-56.768507,-17.354567
"343","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"344","Anodorhynchus hyacinthinus",-56.69135,-16.456923
"345","Anodorhynchus hyacinthinus",-56.670112,-16.407192
"346","Anodorhynchus hyacinthinus",-56.69135,-16.456923
"347","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"348","Anodorhynchus hyacinthinus",-56.698809,-17.282628
"349","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"350","Anodorhynchus hyacinthinus",-56.711769,-16.51224
"351","Anodorhynchus hyacinthinus",-56.69135,-16.456923
"352","Anodorhynchus hyacinthinus",-56.943046,-17.102716
"353","Anodorhynchus hyacinthinus",-57.038612,-19.555665
"354","Anodorhynchus hyacinthinus",-56.718257,-17.314949
"355","Anodorhynchus hyacinthinus",-56.734699,-16.619621
"356","Anodorhynchus hyacinthinus",-56.69135,-16.456923
"357","Anodorhynchus hyacinthinus",-56.69135,-16.456923
"358","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"359","Anodorhynchus hyacinthinus",-55.966252,-20.118534
"360","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"361","Anodorhynchus hyacinthinus",-46.567768,-10.619279
"362","Anodorhynchus hyacinthinus",-56.711769,-16.51224
"363","Anodorhynchus hyacinthinus",-56.877233,-16.758115
"364","Anodorhynchus hyacinthinus",-49.360833,-6.604621
"365","Anodorhynchus hyacinthinus",-56.711769,-16.51224
"366","Anodorhynchus hyacinthinus",-56.768507,-17.354567
"367","Anodorhynchus hyacinthinus",-56.844017,-16.784207
"368","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"369","Anodorhynchus hyacinthinus",-56.734699,-16.619621
"370","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"371","Anodorhynchus hyacinthinus",-56.69135,-16.456923
"372","Anodorhynchus hyacinthinus",-56.745334,-16.503078
"373","Anodorhynchus hyacinthinus",-47.945861,-15.961995
"374","Anodorhynchus hyacinthinus",-56.877233,-16.758115
"375","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"376","Anodorhynchus hyacinthinus",-55.846038,-20.308972
"377","Anodorhynchus hyacinthinus",-56.698809,-17.282628
"378","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"379","Anodorhynchus hyacinthinus",-56.844017,-16.784207
"380","Anodorhynchus hyacinthinus",-47.537579,-10.723571
"381","Anodorhynchus hyacinthinus",-56.844017,-16.784207
"382","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"383","Anodorhynchus hyacinthinus",-56.90977,-16.958327
"384","Anodorhynchus hyacinthinus",-56.668586,-16.404055
"385","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"386","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"387","Anodorhynchus hyacinthinus",-56.745334,-16.503078
"388","Anodorhynchus hyacinthinus",-56.745334,-16.503078
"389","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"390","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"391","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"392","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"393","Anodorhynchus hyacinthinus",-46.759481,-10.550958
"394","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"395","Anodorhynchus hyacinthinus",-56.745334,-16.503078
"396","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"397","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"398","Anodorhynchus hyacinthinus",-56.943046,-17.102716
"399","Anodorhynchus hyacinthinus",-56.775112,-17.364524
"400","Anodorhynchus hyacinthinus",-56.945711,-17.123689
"401","Anodorhynchus hyacinthinus",-56.90977,-16.958327
"402","Anodorhynchus hyacinthinus",-56.620833,-16.378611
"403","Anodorhynchus hyacinthinus",-56.698809,-17.282628
"404","Anodorhynchus hyacinthinus",-56.387368,-21.095107
"405","Anodorhynchus hyacinthinus",-56.844017,-16.784207
"406","Anodorhynchus hyacinthinus",-56.745334,-16.503078
"407","Anodorhynchus hyacinthinus",-56.696653,-17.26878
"408","Anodorhynchus hyacinthinus",-56.857718,-16.748174
"409","Anodorhynchus hyacinthinus",-56.745334,-16.503078
"410","Anodorhynchus hyacinthinus",-56.698809,-17.282628
"411","Anodorhynchus hyacinthinus",-56.718257,-17.314949
"412","Anodorhynchus hyacinthinus",-56.745334,-16.503078
