"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","Best_match_overall_score","Best_match_highertaxa","unique_id"
"12","Acer rubrum L.","1","508558","Acer rubrum","1","species","L.","L.","1","L.","Sapindaceae","Acer","Acer","1","rubrum","rubrum","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000514966","","Y","Accepted","Acer rubrum","Acer rubrum","L.","508558","species","https://www.worldfloraonline.org/taxon/wfo-0000514966","","Sapindaceae","1","1","wfo","",true,true,15
"13","Pinus resinosa Aiton","1","475678","Pinus resinosa","1","species","Aiton","Aiton","1","Aiton","Pinaceae","Pinus","Pinus","1","resinosa","resinosa","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000481843","","Y","Accepted","Pinus resinosa","Pinus resinosa","Aiton","475678","species","https://www.worldfloraonline.org/taxon/wfo-0000481843","","Pinaceae","1","1","wfo","",true,true,16
"14","Maianthemum canadense Desf.","1","683778","Maianthemum canadense","1","species","Desf.","Desf.","1","Desf.","Asparagaceae","Maianthemum","Maianthemum","1","canadense","canadense","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000691281","","Y","Accepted","Maianthemum canadense","Maianthemum canadense","Desf.","683778","species","https://www.worldfloraonline.org/taxon/wfo-0000691281","","Asparagaceae","1","1","wfo","",true,true,20
"15","Dennstaedtia punctilobula (Michx.) T. Moore","1","1092749","Dennstaedtia punctilobula","1","species","(Michx.) T. Moore","(Michx.) T.Moore","1","(Michx.) T.Moore","Dennstaedtiaceae","Dennstaedtia","Dennstaedtia","1","punctilobula","punctilobula","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001107280","","Y","Accepted","Dennstaedtia punctilobula","Dennstaedtia punctilobula","(Michx.) T.Moore","1092749","species","https://www.worldfloraonline.org/taxon/wfo-0001107280","","Dennstaedtiaceae","1","1","wfo","",true,true,21
"16","Ilex mucronata (L.) Powell  Savolainen & Andrews","0.94572","1267313","Ilex mucronata","1","species","(L.) Powell Savolainen & Andrews","(L.) M.Powell, Savol. & S.Andrews","0.7286","(L.) M.Powell, Savol. & S.Andrews","Aquifoliaceae","Ilex","Ilex","1","mucronata","mucronata","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001284515","","Y","Accepted","Ilex mucronata","Ilex mucronata","(L.) M.Powell, Savol. & S.Andrews","1267313","species","https://www.worldfloraonline.org/taxon/wfo-0001284515","","Aquifoliaceae","1","1","wfo","",true,true,22
"17","Fagus grandifolia Ehrh.","1","957813","Fagus grandifolia","1","species","Ehrh.","Ehrh.","1","Ehrh.","Fagaceae","Fagus","Fagus","1","grandifolia","grandifolia","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000966434","","Y","Accepted","Fagus grandifolia","Fagus grandifolia","Ehrh.","957813","species","https://www.worldfloraonline.org/taxon/wfo-0000966434","","Fagaceae","1","1","wfo","",true,true,23
"18","Clintonia borealis (Aiton) Raf.","1","755731","Clintonia borealis","1","species","(Aiton) Raf.","(Aiton) Raf.","1","(Aiton) Raf.","Liliaceae","Clintonia","Clintonia","1","borealis","borealis","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000763732","","Y","Accepted","Clintonia borealis","Clintonia borealis","(Aiton) Raf.","755731","species","https://www.worldfloraonline.org/taxon/wfo-0000763732","","Liliaceae","1","1","wfo","",true,true,24
"19","Pinus strobus L.","1","475365","Pinus strobus","1","species","L.","L.","1","L.","Pinaceae","Pinus","Pinus","1","strobus","strobus","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000481530","","Y","Accepted","Pinus strobus","Pinus strobus","L.","475365","species","https://www.worldfloraonline.org/taxon/wfo-0000481530","","Pinaceae","1","1","wfo","",true,true,25
"20","Viburnum acerifolium L.","1","1273298","Viburnum acerifolium","1","species","L.","L.","1","L.","Viburnaceae","Viburnum","Viburnum","1","acerifolium","acerifolium","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001290749","","Y","Accepted","Viburnum acerifolium","Viburnum acerifolium","L.","1273298","species","https://www.worldfloraonline.org/taxon/wfo-0001290749","","Viburnaceae","1","1","wfo","",true,true,27
"21","Gaultheria procumbens L.","1","687813","Gaultheria procumbens","1","species","L.","L.","1","L.","Ericaceae","Gaultheria","Gaultheria","1","procumbens","procumbens","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000695341","","Y","Accepted","Gaultheria procumbens","Gaultheria procumbens","L.","687813","species","https://www.worldfloraonline.org/taxon/wfo-0000695341","","Ericaceae","1","1","wfo","",true,true,28
"22","Nyssa sylvatica Marshall","1","247731","Nyssa sylvatica","1","species","Marshall","Marshall","1","Marshall","Nyssaceae","Nyssa","Nyssa","1","sylvatica","sylvatica","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000252606","","Y","Accepted","Nyssa sylvatica","Nyssa sylvatica","Marshall","247731","species","https://www.worldfloraonline.org/taxon/wfo-0000252606","","Nyssaceae","1","1","wfo","",true,true,29
"23","Amelanchier laevis Wiegand","1","999792","Amelanchier laevis","1","species","Wiegand","Wiegand","1","Wiegand","Rosaceae","Amelanchier","Amelanchier","1","laevis","laevis","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001009248","","Y","Accepted","Amelanchier laevis","Amelanchier laevis","Wiegand","999792","species","https://www.worldfloraonline.org/taxon/wfo-0001009248","","Rosaceae","1","1","wfo","",true,true,30
"24","Vaccinium corymbosum L.","1","417170","Vaccinium corymbosum","1","species","L.","L.","1","L.","Ericaceae","Vaccinium","Vaccinium","1","corymbosum","corymbosum","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000422953","","Y","Accepted","Vaccinium corymbosum","Vaccinium corymbosum","L.","417170","species","https://www.worldfloraonline.org/taxon/wfo-0000422953","","Ericaceae","1","1","wfo","",true,true,32
"25","Lycopodium obscurum L.","1","1092815","Lycopodium obscurum","1","species","L.","L.","1","L.","Lycopodiaceae","Lycopodium","Lycopodium","1","obscurum","obscurum","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001107346","","Y","Accepted","Lycopodium obscurum","Lycopodium obscurum","L.","1092815","species","https://www.worldfloraonline.org/taxon/wfo-0001107346","","Lycopodiaceae","1","1","wfo","",true,true,33
"26","Kalmia latifolia L.","1","350998","Kalmia latifolia","1","species","L.","L.","1","L.","Ericaceae","Kalmia","Kalmia","1","latifolia","latifolia","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000356132","","Y","Accepted","Kalmia latifolia","Kalmia latifolia","L.","350998","species","https://www.worldfloraonline.org/taxon/wfo-0000356132","","Ericaceae","1","1","wfo","",true,true,34
"27","Viburnum nudum L. var. cassinoides (L.) Torr. & A. Gray","1","1345511","Viburnum nudum var. cassinoides","1","variety","(L.) Torr. & A. Gray","(L.) Torr. & A.Gray","1","(L.) Torr. & A.Gray","Viburnaceae","Viburnum","Viburnum","1","nudum","nudum","1","","","","var.","cassinoides","1","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001378976","","Y","Synonym","Viburnum cassinoides","Viburnum cassinoides","L.","1273301","species","https://www.worldfloraonline.org/taxon/wfo-0001290752","","Viburnaceae","1","1","wfo","",true,true,35
"28","Monotropa uniflora L.","1","371073","Monotropa uniflora","1","species","L.","L.","1","L.","Ericaceae","Monotropa","Monotropa","1","uniflora","uniflora","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000376457","","Y","Accepted","Monotropa uniflora","Monotropa uniflora","L.","371073","species","https://www.worldfloraonline.org/taxon/wfo-0000376457","","Ericaceae","1","1","wfo","",true,true,36
"29","Dryopteris carthusiana (Vill.) H.P. Fuchs","1","1092767","Dryopteris carthusiana","1","species","(Vill.) H.P. Fuchs","(Vill.) H.P.Fuchs","1","(Vill.) H.P.Fuchs","Dryopteridaceae","Dryopteris","Dryopteris","1","carthusiana","carthusiana","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001107298","","Y","Accepted","Dryopteris carthusiana","Dryopteris carthusiana","(Vill.) H.P.Fuchs","1092767","species","https://www.worldfloraonline.org/taxon/wfo-0001107298","","Dryopteridaceae","1","1","wfo","",true,true,37
"30","Hamamelis virginiana L.","1","1051842","Hamamelis virginiana","1","species","L.","L.","1","L.","Hamamelidaceae","Hamamelis","Hamamelis","1","virginiana","virginiana","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001065240","","Y","Accepted","Hamamelis virginiana","Hamamelis virginiana","L.","1051842","species","https://www.worldfloraonline.org/taxon/wfo-0001065240","","Hamamelidaceae","1","1","wfo","",true,true,38
"31","Carex swanii (Fernald) Mack.","1","346676","Carex swanii","1","species","(Fernald) Mack.","(Fernald) Mack.","1","(Fernald) Mack.","Cyperaceae","Carex","Carex","1","swanii","swanii","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000351791","","Y","Accepted","Carex swanii","Carex swanii","(Fernald) Mack.","346676","species","https://www.worldfloraonline.org/taxon/wfo-0000351791","","Cyperaceae","1","1","wfo","",true,true,39
